시도,시군구,수행기관명,주소,기관 대표전화,특화서비스
서울특별시,*광역수행기관,마포어르신돌봄통합센터,서울특별시 마포구 토정로 148-14 (상수동),02-325-3853,해당없음
부산광역시,*광역수행기관,부산광역시독거노인종합지원센터,부산광역시 중구 중구로 71 가톨릭센터 7층,051-253-2590,해당없음
대구광역시,*광역수행기관,진명재가노인돌봄센터,대구광역시 동구 아양로 239 진명시니어카운티 5층,053-954-0202,해당없음
인천광역시,*광역수행기관,인천광역시고령사회대응센터,인천광역시 미추홀구 석정로 229 행정타운및제물포스마트타운 10층,032-715-7685,해당없음
광주광역시,*광역수행기관,광주광역시사회서비스원,"광주 서구 상무중앙로 110 (치평동, 우체국보험광주회관) 8층 재단법인 광주광역시 사회서비스원",062-607-5239,해당없음
대전광역시,*광역수행기관,대전광역시사회서비스원,"대전 중구 보문로 246 (대흥동, 대림빌딩) 10층 대전광역시사회서비스원",042-331-5077,해당없음
울산광역시,*광역수행기관,사회복지법인 함께하는사람들,울산광역시 중구 난곡10길 22,052-249-8088,해당없음
경기도,*광역수행기관,경기도 노인맞춤돌봄·응급안전안심서비스 광역기관,"경기 수원시 장안구 경수대로 1150 (파장동, 경기도인재개발원) 도서관 3층",031-8067-5211,해당없음
강원도,*광역수행기관,동해시U-Care센터,"강원 동해시 선돌길 19 (단봉동, 동해시U-Care센터)",033-533-1155,해당없음
충청북도,*광역수행기관,충청북도노인종합복지관,충청북도 청주시 서원구 흥덕로 42,070-4017-0040,해당없음
충청남도,*광역수행기관,홍성군노인종합복지관,충청남도 홍성군 홍성읍 내포로 146번길 30-11,041-631-0960,해당없음
전라북도,*광역수행기관,우리노인복지센터,전라북도 전주시 덕진구 전주천서로 321,063-717-7179,해당없음
전라남도,*광역수행기관,전라남도사회서비스원,전남 목포시 양을로33번길 3 (산정동) 전라남도서부종합재가센터,061-277-9837,해당없음
경상북도,*광역수행기관,경상북도 노인맞춤돌봄서비스 광역지원기관,"경상북도 안동시 안기천로 74, 지하1층",054-841-7011,해당없음
경상남도,*광역수행기관,마산회원노인종합복지관,경상남도 창원시 마산회원구 삼호로 227(석전동),055-713-6890,해당없음
제주특별자치도,*광역수행기관,제주시홀로사는노인지원센터(광역),"제주특별자치도 제주시 동문로 80, 2층 (일도2동)",064-759-9260,해당없음
서울특별시,강남구,강남구노인통합지원센터,"서울특별시 강남구 봉은사로24길 70, 2층",02-557-8091,해당
서울특별시,강동구,시립강동노인종합복지관,서울특별시 강동구 동남로71길 32-5,02-442-1026,해당없음
서울특별시,강동구,성가정노인종합복지관,서울특별시 강동구 양재대로156길 28,02-481-2218,해당없음
서울특별시,강동구,성내종합사회복지관,서울특별시 강동구 성안로13길 56,02-478-2555,해당없음
서울특별시,강북구,시립강북노인종합복지관,서울특별시 강북구 삼양로92길 40(인수동),02-999-9179,해당
서울특별시,강북구,번동3단지종합사회복지관,"서울특별시 강북구 오현로 208, 302동 1층",02-984-6777,해당없음
서울특별시,강북구,강북재가노인지원센터,"서울 강북구 삼양로 478 (수유동, 동훈빌딩) 2층",02-945-9988,해당없음
서울특별시,강서구,참사랑재가노인지원센터,"서울특별시 강서구 금낭화로 54-20 3층(방화동, 이화빌딩)",02-2064-0102,해당없음
서울특별시,강서구,강서노인종합복지관,서울특별시 강서구 화곡로61길 85,02-3664-0322,해당없음
서울특별시,강서구,강서구립봉제산어르신복지센터,서울특별시 강서구 초록마을로15길 12(화곡동),02-2605-1553,해당없음
서울특별시,관악구,신림종합사회복지관,서울특별시 관악구 난곡로 110 (난향동),02-851-1767,해당없음
서울특별시,관악구,성민종합사회복지관,서울특별시 관악구 호암로 549(신림동) 3층,02-876-0900,해당없음
서울특별시,관악구,사회적협동조합 우리사이,"서울특별시 관악구 신림로23길 16, 5층(신림동)",02-883-0142,해당없음
서울특별시,관악구,시립관악노인종합복지관,서울특별시 관악구 보라매로 35,02-888-6144,해당
서울특별시,광진구,늘푸른돌봄센터,"서울 광진구 용마산로8길 65 (중곡동, 공유공간 돌봄) 1층",02-461-8373,해당없음
서울특별시,광진구,광진노인종합복지관,서울특별시 광진구 군자로 88,02-466-6242,해당없음
서울특별시,구로구,구로어르신돌봄통합센터,서울특별시 구로구 디지털로27다길 65 지하1층,02-868-1554,해당없음
서울특별시,구로구,구로노인종합복지관,서울특별시 구로구 새말로16길 7,02-838-4600,해당
서울특별시,구로구,궁동종합사회복지관,서울특별시 구로구 오리로22길 5,02-2613-9367,해당없음
서울특별시,금천구,금천한내어르신복지센터,"서울특별시 금천구 한내로 69-15(독산동), 금천한내복지관 4층",02-897-5104,해당
서울특별시,금천구,금천호암노인종합복지관,"서울특별시 금천구 독산로72길 86-5, 4층 종합사무실",02-853-7203,해당
서울특별시,금천구,금천노인종합복지관,서울특별시 금천구 시흥대로51길 93-32,02-804-4058,해당없음
서울특별시,노원구,서울노원남부지역자활센터,"서울특별시 노원구 동일로178길 19-38 505호(공릉동, 연세빌딩)",02-941-6594,해당없음
서울특별시,노원구,시립노원노인종합복지관,서울특별시 노원구 노원로16길 15(하계동) / 보람어린이집 건물,02-948-7350,해당없음
서울특별시,노원구,노원구어르신돌봄지원센터,"서울특별시 노원구 상계로23길 17, 원터행복발전소3층",02-935-5000,해당없음
서울특별시,도봉구,서울특별시립도봉노인종합복지관,서울특별시 도봉구 도당로2길 12-13,02-993-9900,해당
서울특별시,도봉구,창동종합사회복지관,서울특별시 도봉구 덕릉로 329 4층,02-993-3222,해당없음
서울특별시,도봉구,한결재가돌봄센터,서울특별시 도봉구 도봉로164길 33-25 502호,02-955-2505,해당없음
서울특별시,도봉구,도봉재가노인지원센터,서울특별시 도봉구 시루봉로 130 (방학동) 5층,02-3494-6060,해당없음
서울특별시,동대문구,동대문노인종합복지관,"서울특별시 동대문구 제기로33길 25, 동대문노인종합복지관 (청량리동, 동대문노인종합복지관)",02-963-0565,해당
서울특별시,동대문구,은천재가노인지원센터,서울특별시 동대문구 장한로27가길 53,02-2249-0580,해당없음
서울특별시,동작구,동작노인종합복지관,서울특별시 동작구 상도로11길 7,02-823-0064,해당
서울특별시,동작구,사당어르신종합복지관,서울특별시 동작구 사당동 남부순환로 2081,02-580-2461,해당
서울특별시,마포구,마포노인복지센터,서울특별시 마포구 만리재로 99,02-712-3642,해당없음
서울특별시,마포구,마포어르신돌봄통합센터,서울특별시 마포구 토정로 148-14(상수동),02-325-3850,해당
서울특별시,서대문구,시립서대문노인종합복지관,서울특별시 서대문구 독립문로8길 57 지하1층 사무실,02-363-9988,해당
서울특별시,서대문구,효림재가노인지원센터,서울특별시 서대문구 경기대로9길 62,02-313-5124,해당없음
서울특별시,서초구,서초어르신행복e음센터,서울특별시 서초구 방배중앙로 159-6,02-6925-6990,해당
서울특별시,서초구,방배노인종합복지관,서울특별시 서초구 방배천로 48 3층 사무실,02-581-7992,해당없음
서울특별시,성동구,성동노인종합복지관,"서울특별시 성동구 마조로 77(마장동, 성동노인종합복지관 1층 지역복지과)",02-2298-5117,해당없음
서울특별시,성동구,사회적협동조합 성동돌봄,"서울특별시 성동구 왕십리로 309 (행당동, 왕십리역이스타빌) 205호",02-2294-2114,해당없음
서울특별시,성북구,정릉종합사회복지관,서울특별시 성북구 솔샘로5길 92(정릉동),02-909-0434,해당없음
서울특별시,성북구,길음종합사회복지관,"서울특별시 성북구 삼양로2길 55 (길음동, 길음종합사회복지관)",02-985-0161,해당
서울특별시,성북구,생명의전화종합사회복지관,"서울 성북구 화랑로5길 93 (하월곡동, 동북제일교회)",02-916-9191,해당없음
서울특별시,성북구,서울시립성북노인종합복지관,서울특별시 성북구 종암로15길 10(종암동),02-929-7950,해당없음
서울특별시,송파구,송파노인종합복지관,서울특별시 송파구 백제고분로32길 41(4층 지역복지과),02-2203-9400,해당
서울특별시,송파구,송파실벗뜨락,"서울특별시 송파구 백제고분로42길 5 5,6층",02-413-9999,해당없음
서울특별시,송파구,송파노인복지센터,"서울특별시 송파구 백제고분로41길 19-24, 2층 (송파동)",02-2202-3677,해당없음
서울특별시,양천구,양천어르신종합복지관,서울특별시 양천구 목동로3길 106(신정동),02-2649-4848,해당없음
서울특별시,양천구,서서울어르신복지관,서울특별시 양천구 가로공원로60가길 16,02-2608-4042,해당없음
서울특별시,양천구,목동실버복지문화센터,서울특별시 양천구 목동중앙로3길 21(목4동 765-1),02-2643-3352,해당없음
서울특별시,영등포구,구립영등포노인복지센터,"서울특별시 영등포구 선유서로34길 10, 3층",02-2679-0065,해당없음
서울특별시,영등포구,영등포종합사회복지관,서울특별시 영등포구 신길로13길 4,02-845-5331,해당없음
서울특별시,영등포구,신길종합사회복지관,서울특별시 영등포구 영등포로84길 24-5 2층 사무실,02-831-2755,해당없음
서울특별시,영등포구,영등포노인종합복지관,서울특별시 영등포구 도림로 482 영등포노인종합복지관 2층 통합사무실,02-2068-5326,해당없음
