,a,b,c,d,e,f,g
0,광주광역시 광산구,주식회사 금하로지스,마감,,010-2624-3016,택배분류작업 및 배송원 모집(유사 업무 종사자 우대)모집기간 : 2022.02.03~2022.12.31모집인원 : 10명면접시행 2022.02.03~추후 별도 면접 시행(수시)근무시작 : 면접후 (수시)연 락 처(문의) : ***-****-**** (사)한마음금고복지센터코로나19로 인해 일정이 변경될 수 있습니다.,2022-12-31
1,광주광역시 광산구,농업회사법인치킨프라자주식회사,마감,,010-8608-3801,1.사업명 : 치킨프라자(닭고기가공)2.사업목적 : -노인일자리 활성화 및 신규 일자리창출                 -어르신들이 경제 활동을 통한 우울증 감소 및 자신감 회복                 -소득 증대를 통한 경제력 확보                 -어르신들의 근무의욕 고취3.사업내용 : 사업장내 닭고기가공 및 포장4.부서배치 및 참여인원 : 6명 5.운영계획 : 시니어인턴십 3개월 운영 후 신규고용6.직무교육 : 직무교육 및 안전수칙(2시간)7.실시인원 : 인턴6명8.모집직종 : 닭고기 가공 및 포장원10.근무지역 : 광주광역시 광산구 비아동 11.자격사항 : 신체건강한 만60세 어르신12.고용예정인원 : 인턴십 시행이수 계속고용 또는 신규고용 예정인원6명 100%계획,2022-12-31
2,광주광역시 광산구,워싱턴유치원,마감,,062-959-5552,만60세이상,2022-10-27
3,광주광역시 광산구,문정누리유치원,마감,,062-959-5552,만60세이상 운전원/1명,2022-10-23
4,광주광역시 광산구,(주)운현궁,마감,,062-959-5552,만60세이상 제조업종사자/2명,2022-10-22
5,광주광역시 광산구,무등정신건강의학과의원,마감,,062-959-5552,"만60세이상 2명 / 치료사, 간호조무사",2022-10-12
6,광주광역시 광산구,이안,마감,,062-959-5552,만60세이상 제조업 모집,2022-10-12
7,광주광역시 광산구,아이앤지,마감,,062-959-5552,만60세이상 생산직모집,2022-10-11
8,광주광역시 광산구,(주)밀양현대자동차학원,마감,,055-354-8881,"1.실시 인원 : 인턴 3명2.모집 연령대 : 60대 이상3.모집 직종 : 강사(운전)4.근무 지역 : 경상남도5.자격 사항 : 운전면허증, 강사자격증6.고용 예정 인원 : 인턴십 시행 이수 계속 고용 또는 신규 고용 예정 인원 3명 100% 계획",2022-10-10
9,광주광역시 광산구,주식회사 광명사,마감,,055-385-2021,"1.실시 인원 : 인턴 3명2.모집 연령대 : 60대 이상3.모집 직종 : 제조단순 종사원, 품질관리4.근무 지역 : 경상남도5.자격 사항 : 해당사항 없음6.고용 예정 인원 : 인턴십 시행 이수 계속 고용 또는 신규 고용 예정 인원 3명 100% 계획",2022-10-07
10,광주광역시 광산구,주식회사 금하로지스,마감,,010-2624-3016,택배분류작업 및 배송원 모집(유사 업무 종사자 우대)모집기간 : 2022.02.03~2022.12.31모집인원 : 10명면접시행 2022.02.03~추후 별도 면접 시행(수시)근무시작 : 면접후 (수시)연 락 처(문의) : ***-****-**** (사)한마음금고복지센터코로나19로 인해 일정이 변경될 수 있습니다.,2022-12-31
11,광주광역시 광산구,농업회사법인치킨프라자주식회사,마감,,010-8608-3801,1.사업명 : 치킨프라자(닭고기가공)2.사업목적 : -노인일자리 활성화 및 신규 일자리창출                 -어르신들이 경제 활동을 통한 우울증 감소 및 자신감 회복                 -소득 증대를 통한 경제력 확보                 -어르신들의 근무의욕 고취3.사업내용 : 사업장내 닭고기가공 및 포장4.부서배치 및 참여인원 : 6명 5.운영계획 : 시니어인턴십 3개월 운영 후 신규고용6.직무교육 : 직무교육 및 안전수칙(2시간)7.실시인원 : 인턴6명8.모집직종 : 닭고기 가공 및 포장원10.근무지역 : 광주광역시 광산구 비아동 11.자격사항 : 신체건강한 만60세 어르신12.고용예정인원 : 인턴십 시행이수 계속고용 또는 신규고용 예정인원6명 100%계획,2022-12-31
12,광주광역시 광산구,워싱턴유치원,마감,,062-959-5552,만60세이상,2022-10-27
13,광주광역시 광산구,문정누리유치원,마감,,062-959-5552,만60세이상 운전원/1명,2022-10-23
14,광주광역시 광산구,(주)운현궁,마감,,062-959-5552,만60세이상 제조업종사자/2명,2022-10-22
15,광주광역시 광산구,무등정신건강의학과의원,마감,,062-959-5552,"만60세이상 2명 / 치료사, 간호조무사",2022-10-12
16,광주광역시 광산구,이안,마감,,062-959-5552,만60세이상 제조업 모집,2022-10-12
17,광주광역시 광산구,아이앤지,마감,,062-959-5552,만60세이상 생산직모집,2022-10-11
18,광주광역시 광산구,(주)밀양현대자동차학원,마감,,055-354-8881,"1.실시 인원 : 인턴 3명2.모집 연령대 : 60대 이상3.모집 직종 : 강사(운전)4.근무 지역 : 경상남도5.자격 사항 : 운전면허증, 강사자격증6.고용 예정 인원 : 인턴십 시행 이수 계속 고용 또는 신규 고용 예정 인원 3명 100% 계획",2022-10-10
19,광주광역시 광산구,주식회사 광명사,마감,,055-385-2021,"1.실시 인원 : 인턴 3명2.모집 연령대 : 60대 이상3.모집 직종 : 제조단순 종사원, 품질관리4.근무 지역 : 경상남도5.자격 사항 : 해당사항 없음6.고용 예정 인원 : 인턴십 시행 이수 계속 고용 또는 신규 고용 예정 인원 3명 100% 계획",2022-10-07
20,광주광역시 광산구,(주)대한아이테크,마감,,055-328-6318,"1.실시 인원 : 인턴 2명2.모집 연령대 : 60대 이상3.모집 직종 : 제조 단순종사원, 기타 서비스 단순종사원4.근무 지역 : 경상남도5.자격 사항 : 해당사항 없음6.고용 예정 인원 : 인턴십 시행 이수 계속 고용 또는 신규 고용 예정 인원 2명 100% 계획",2022-10-05
21,광주광역시 광산구,정호종합건설(유),마감,,055-247-2277,1.실시 인원 : 인턴 1명2.모집 연령대 : 60대 이상3.모집 직종 : 건설종사원4.근무 지역 : 경상남도5.자격 사항 : 해당사항 없음6.고용 예정 인원 : 인턴십 시행 이수 계속 고용 또는 신규 고용 예정 인원 1명 100% 계획,2022-09-30
22,광주광역시 광산구,세종유치원(화순),마감,,062-959-5552,"60세 이상 조리사,조리원,운전원/3명",2022-09-29
23,광주광역시 광산구,창우테크,마감,,062-959-5552,만60세이상 생산직 모집,2022-09-29
24,광주광역시 광산구,바이오메디코리아,마감,,062-959-5552,만60세이상 생산직,2022-09-27
25,광주광역시 광산구,지산물류,마감,,062-959-5552,만60세이상 운전가능하신분,2022-09-27
26,광주광역시 광산구,씨에이치에프,마감,,062-959-5552,만60세이상 생산직 모집,2022-09-18
27,광주광역시 광산구,서림철강,마감,,062-959-5552,만60세이상 생산직 모집,2022-09-17
28,광주광역시 광산구,주식회사 한국에이엠렌탈,마감,,02-1522-5992,1.실시 인원 : 인턴 1명2.모집 연령대 : 60대 이상3.모집 직종 : 재무팀4.근무 지역 : 경상남도5.자격 사항 : 해당사항 없음6.고용 예정 인원 : 인턴십 시행 이수 계속 고용 또는 신규 고용 예정 인원 1명 100% 계획,2022-09-16
29,광주광역시 광산구,태양,마감,,055-366-8531,1.실시 인원 : 인턴 2명2.모집 연령대 : 60대 이상3.모집 직종 : 제조단순 종사원4.근무 지역 : 경상남도5.자격 사항 : 해당사항 없음6.고용 예정 인원 : 인턴십 시행 이수 계속 고용 또는 신규 고용 예정 인원 2명 100% 계획,2022-09-16
30,광주광역시 광산구,헬스벨스토리,마감,,062-959-5552,만60세이상 영업사원 모집,2022-09-16
31,광주광역시 광산구,버클리유치원,마감,,062-959-5552,만60세이상,2022-09-15
32,광주광역시 광산구,주식회사 채움커뮤니케이션즈,마감,,062-352-1116,1.실시 인원 : 인턴 1명2.모집 연령대 : 60대 이상3.모집 직종 : 건설현장 현장반장4.근무 지역 : 광주5.자격 사항 : 경력직 및 안전교육 이수자6.고용 예정 인원 : 인턴십 시행 이수 계속 고용 또는 신규 고용 예정 인원 1명 100% 계획,2022-09-09
33,광주광역시 광산구,의료법인 자온의료재단 덕산요양병원,마감,,055-713-6301,"1.실시 인원 : 인턴 2명2.모집 연령대 : 60대 이상3.모집 직종 : 조리사 및 의사, 기타보건종사원4.근무 지역 : 경상남도5.자격 사항 : 조리사 및 관련자격증 소지자6.고용 예정 인원 : 인턴십 시행 이수 계속 고용 또는 신규 고용 예정 인원 2명 100% 계획",2022-09-08
34,광주광역시 광산구,주식회사 태원서비스,마감,,051-717-2664,"1.실시 인원 : 인턴 3명2.모집 연령대 : 60대 이상3.모집 직종 : 단순노무자, 소장, 기사4.근무 지역 : 부산광역시5.자격 사항 : 해당사항 없음6.고용 예정 인원 : 인턴십 시행 이수 계속 고용 또는 신규 고용 예정 인원 3명 100% 계획",2022-09-08
35,광주광역시 광산구,씨에스티(C.S.T),마감,,055-275-5655,"1.실시 인원 : 인턴 2명2.모집 연령대 : 60대 이상3.모집 직종 : 품질관리, 제조단순4.근무 지역 : 경상남도5.자격 사항 : 해당사항 없음6.고용 예정 인원 : 인턴십 시행 이수 계속 고용 또는 신규 고용 예정 인원 2명 100% 계획",2022-09-08
36,광주광역시 광산구,(주)씨앤씨컴퍼니,마감,,055-267-3661,1.실시 인원 : 인턴 2명2.모집 연령대 : 60대 이상3.모집 직종 : 제조단순 종사원4.근무 지역 : 경상남도5.자격 사항 : 해당사항 없음6.고용 예정 인원 : 인턴십 시행 이수 계속 고용 또는 신규 고용 예정 인원 2명 100% 계획,2022-09-08
37,광주광역시 광산구,부광정밀공업(주),마감,,055-342-4775,"1.실시 인원 : 인턴 3명2.모집 연령대 : 60대 이상3.모집 직종 : 제조단순, 품질관리4.근무 지역 : 경상남도5.자격 사항 : 해당사항 없음6.고용 예정 인원 : 인턴십 시행 이수 계속 고용 또는 신규 고용 예정 인원 3명 100% 계획",2022-09-08
38,광주광역시 광산구,더바로세움학원,마감,,010-2447-7283,1.실시 인원 : 인턴 1명2.모집 연령대 : 60대 이상3.모집 직종 : 운전직4.근무 지역 : 충청남도 보령시5.자격 사항 : 1종 운전면허 소지자6.고용 예정 인원 : 인턴십 시행 이수 계속 고용 또는 신규 고용 예정 인원 1명 100% 계획,2022-09-08
39,광주광역시 광산구,혜화유치원,마감,,062-959-5552,"운전원, 주방보조, 업무보조, 조리사 / 4명",2022-09-06
40,광주광역시 광산구,수안시니어케어,마감,,06-259-5552,"60세 이상 간호조무사, 조리원, 사회복지사/3명",2022-09-03
41,광주광역시 광산구,태영고속주식회사,마감,,070-4693-4623,1.실시 인원 : 인턴 3명2.모집 연령대 : 60대 이상3.모집 직종 : 버스운전4.근무 지역 : 경상남도5.자격 사항 : 대형면허소지자6.고용 예정 인원 : 인턴십 시행 이수 계속 고용 또는 신규 고용 예정 인원 3명 100% 계획,2022-09-02
