,a,b,c,d,e,f,g
0,대구광역시 서구,한영산업,접수예정,대구광역시 달서구 월암동 1111,053-745-4706,"2022 시니어인턴 참여자 모집 [매칭완료]1. 모집직종 : 제조 단순종사원2. 모집인원 : 13. 근무장소 : 대구4. 근무기간 : 20220410~20221231(입사일은 모집/면접 상황에 따라 변동가능)5. 근무시간 : 09시 ~18시 (협의 중)6. 급여수준 : 최저임금 이상7. 자격요건 : 만 60세 이상으로 해당 직무를 수행할 수 있는 건강한 어르신8. 모집기간 : 20220410~20221231 (모집시까지 충원)9. 신청방법 : 전화 문의 후 기관 방문 상담 및 기업 동행면접 실시10. 제출서류 : 주민등록증, 주민등록 등본, 이력서11. 관련문의 : 이노비즈협회 정세원(***-****-****)",2022-12-31
1,대구광역시 서구,우진테크,마감,대구광역시 달서구 월암동 1111,053-745-4707,"2022 시니어인턴 참여자 모집 [매칭완료]1. 모집직종 : 사무보조2. 모집인원 : 13. 근무장소 : 대구4. 근무기간 : 20220712~20221231(입사일은 모집/면접 상황에 따라 변동가능)5. 근무시간 : 09시 ~18시 (협의 중)6. 급여수준 : 최저임금 이상7. 자격요건 : 만 60세 이상으로 해당 직무를 수행할 수 있는 건강한 어르신8. 모집기간 : 20220712~20220731 (모집시까지 충원)9. 신청방법 : 전화 문의 후 기관 방문 상담 및 기업 동행면접 실시10. 제출서류 : 주민등록증, 주민등록 등본, 이력서11. 관련문의 : 이노비즈협회 박경랑(0537454707)",2022-12-31
2,대구광역시 서구,(합)보람항공여행사,마감,,053-741-3226,“2022년 시니어인턴십 참여자 모집”     1.모집직종 : 버스운전원2.모집인원 : 5명3.근무기간 : 2022.04.01~4.근무시간 : 09:00~18:005.급여수준 : 최저임금이상6.자격요건 : 만 60세 이상으로 해당직무를 수행할 수 있는 건강한 분,2022-12-31
3,대구광역시 서구,(주)울산항업,마감,,052-265-7380,㈜울산항업에서 시니어인터십 참여자를 모집합니다 1. 모집직종 : 기관장-3명 2. 근무지역 : 울산시 남구 많은 참여 바랍니다.,2022-12-31
4,대구광역시 서구,동원염직(주),마감,대구광역시 달서구 월암동 1111,053-745-4706,"1. 모집직종 : 단순제조3. 근무장소 : 대구4. 근무기간 : 20220201~20221231 (입사일은 모집/면접 상황에 따라 변동가능)5. 근무시간 : 09시 ~18시 (협의 중)6. 급여수준 : 최저임금 이상7. 자격요건 : 만 60세 이상으로 해당 직무를 수행할 수 있는 건강한 어르신8. 모집기간 : 20220201~20221231 (모집시까지 충원)9. 신청방법 : 전화 문의 후 기관 방문 상담 및 기업 동행면접 실시10. 제출서류 : 주민등록증, 주민등록 등본, 이력서11. 관련문의 : 이노비즈협회 정세원(***-****-****)",2022-12-31
5,대구광역시 서구,도일상사,마감,대구 달서구월암동,010-2732-4012,"2022년 시니어인턴십 참여자 모집1. 모집직종 : 기타판매단순종사원2. 인원 : 2명3. 근무기간 : 2022.01.21 ~4. 근무시간 : 09:00 ~ 18:005. 급여수준 : 최저임금 이상6. 자격요건 : 만60세 이상으로 해당 직무를 수행할 수 있는 건강한 어르신7. 모집기간 : 2022.1.1 ~ 8. 신청방법 : 전화문의 후 기관방문상담(사전 문의 필수) 및 기업동행면접실시9. 제출서류 : 주민등록증, 주민등록등본, 이력서10. 관련문의 : 벤처기업협회 대구경북지회(***-****-****)",2022-12-31
6,대구광역시 서구,사회적협동조합드림즈,접수중,,010-4931-3991,"사회적협동조합드림즈에서 시니어인터십 참여자를 모집합니다 1. 모집직종 :  운전,안전관리,교육-4명 2. 자격사항 :  신체건강한분많은 지원 바랍니다.",2022-12-31
7,대구광역시 서구,새론누리주간보호센터,마감,,010-9707-5304,"새론누리주간보호센터에서 시니어인터십 참여자를 모집합니다 1. 모집직종 :  운전원, 조리원-3명 2. 자격사항 :  신체건강한분많은 관심과 지원 바랍니다.",2022-12-31
8,대구광역시 서구,초록들코리아주식회사,마감,대구광역시 달서구 월암동 1111,053-745-4706,2022 시니어인턴 참여자 모집      1. 모집직종 : 제조업 등2. 모집인원 : 13. 근무장소 : 대구4. 근무기간 : 20220101~20221231 (입사일은 모집/면접 상황에 따라 변동가능)5. 근무시간 : 09시 ~18시 (협의 중)6. 급여수준 : 최저임금 이상,2022-12-31
9,대구광역시 서구,남강플랜트 주식회사,접수중,대구광역시 달서구 월암동 1111,053-745-4706,"2021 시니어인턴 참여자 모집1. 모집직종 : 제조 단순종사원2. 모집인원 : 13. 근무장소 : 포항시 흥해읍4. 근무기간 : 20220106~20221231 (입사일은 모집/면접 상황에 따라 변동가능)5. 근무시간 : 09시 ~18시 (협의 중)6. 급여수준 : 최저임금 이상7. 자격요건 : 만 60세 이상으로 해당 직무를 수행할 수 있는 건강한 어르신8. 모집기간 : 20221002~20220106 (모집시까지 충원)9. 신청방법 : 전화 문의 후 기관 방문 상담 및 기업 동행면접 실시10. 제출서류 : 주민등록증, 주민등록 등본, 이력서11. 관련문의 : 이노비즈협회 정세원(***-****-****)",2022-12-31
10,대구광역시 서구,한영산업,접수예정,대구광역시 달서구 월암동 1111,053-745-4706,"2022 시니어인턴 참여자 모집 [매칭완료]1. 모집직종 : 제조 단순종사원2. 모집인원 : 13. 근무장소 : 대구4. 근무기간 : 20220410~20221231(입사일은 모집/면접 상황에 따라 변동가능)5. 근무시간 : 09시 ~18시 (협의 중)6. 급여수준 : 최저임금 이상7. 자격요건 : 만 60세 이상으로 해당 직무를 수행할 수 있는 건강한 어르신8. 모집기간 : 20220410~20221231 (모집시까지 충원)9. 신청방법 : 전화 문의 후 기관 방문 상담 및 기업 동행면접 실시10. 제출서류 : 주민등록증, 주민등록 등본, 이력서11. 관련문의 : 이노비즈협회 정세원(***-****-****)",2022-12-31
11,대구광역시 서구,우진테크,마감,대구광역시 달서구 월암동 1111,053-745-4707,"2022 시니어인턴 참여자 모집 [매칭완료]1. 모집직종 : 사무보조2. 모집인원 : 13. 근무장소 : 대구4. 근무기간 : 20220712~20221231(입사일은 모집/면접 상황에 따라 변동가능)5. 근무시간 : 09시 ~18시 (협의 중)6. 급여수준 : 최저임금 이상7. 자격요건 : 만 60세 이상으로 해당 직무를 수행할 수 있는 건강한 어르신8. 모집기간 : 20220712~20220731 (모집시까지 충원)9. 신청방법 : 전화 문의 후 기관 방문 상담 및 기업 동행면접 실시10. 제출서류 : 주민등록증, 주민등록 등본, 이력서11. 관련문의 : 이노비즈협회 박경랑(0537454707)",2022-12-31
