,a,b,c,d,e,f,g
0,대전광역시 대덕구,하늘새어린이집,마감,대전광역시 대덕구 오정동 464-5,042-633-8012,유성구 어린이집조경 2명주방보조 2명운전원1명,2022-10-11
1,대전광역시 대덕구,클린서비스,마감,대전광역시 대덕구 오정동 464-5,042-633-8012,"장갑 수량 파악, 옷 포장 등(여자)주4일, 오전9시~12:30, 오후13시~16:30최저시급",2022-07-29
2,대전광역시 대덕구,청솔 홈마트,마감,대전광역시 대덕구 오정동 464-5,042-633-8012,2명주6일 11시-19시 160만원,2022-06-08
3,대전광역시 대덕구,토요코인 대전정부청사앞,마감,대전광역시 대덕구 오정동 464-5,042-633-8012,"조리사 오전 2명, 오후 2명시급 9200원, 주3~5일 근무",2022-05-26
4,대전광역시 대덕구,명암실버타운,마감,대전광역시 대덕구 오정동 464-5,042-633-8012,조리사 2명주 5일 9시~18시,2022-05-12
5,대전광역시 대덕구,한우영농조합법인 맥우,마감,대전광역시 대덕구 오정동 464-5,042-633-8012,한우 도축 및 육가공 5명도축업 경험자 우대,2022-05-01
6,대전광역시 대덕구,88건강지킴이사업,마감,대전광역시 대덕구 오정동 464-5,042-633-8012,"88건강지킴이 참여자 모집1. 근무시간 : 주 5회, 일3시간, 월 60시간(4주)2. 월 급 여  : 월 712,800원(주휴수당 포함)3. 신청자격 : 대덕구에 거주하는 만 60세 이상4. 신청제외자- 국민기초생활보장법에 의한 생계급여 수급자- 정부부처 및 지자체에서 추진 중인 일자리사업 참여자- 국민건강보험 직장가입자- 장기요양보험 등급판정자(1 ~ 5등급)5. 참여자 선발 : 개별 상담을 통해 ""참여자 선발기준표"" 작성하여 고득점자 순으로 통합 선발6. 준비서류 : 주민등록등본 1부, 신분증7. 접수처 : 대덕구시니어클럽(대덕구 대전로 1032번길 51 오정동)8. 문의사항 : 042)633-8012",2022-04-30
7,대전광역시 대덕구,이지어린이집,마감,대전광역시 대덕구 오정동 464-5,042-633-8012,어린이집 등하교 차량 운전기사 2명스타렉스 운전 가능자,2022-04-15
8,대전광역시 대덕구,건영산업,마감,대전광역시 대덕구 오정동 464-5,042-633-8013,"- 60세 초반 남자, 신탄진 인근 희망- 주 5일, 7시~16시 (8시간), 휴게 12시~13시 (1시간)- 세전 150만원 (주휴수당x)",2022-04-11
9,대전광역시 대덕구,(주)스몰랩,마감,대전광역시 대덕구 오정동 464-5,042-633-8012,"만 60세 이상 유성구 품질관리 및 품질보증원 구인근무조건: 8시간  주 5일 근무.자격 요건: 품질관리, 품질보증 경력자",2022-04-07
10,대전광역시 대덕구,하늘새어린이집,마감,대전광역시 대덕구 오정동 464-5,042-633-8012,유성구 어린이집조경 2명주방보조 2명운전원1명,2022-10-11
