,a,b,c,d,e,f,g
0,서울특별시 강남구,노무법인 산재,마감,,02)6011-1516,시니어 사원 모집합니다.,2023-01-02
1,서울특별시 강남구,(주)에스피에스-11,접수중,서울 강남구역삼1동,02-2088-3835,(주)에스피에스에서 시니어사원 모집합니다.,2022-11-01
2,서울특별시 강남구,(주)에스유엔컴퍼니-01,마감,서울 강남구역삼1동,02-2088-3835,(주)에스유엔컴퍼니에서 시니어사원 모집합니다.,2022-10-01
3,서울특별시 강남구,예성주야간보호센터-01,마감,서울 강남구역삼1동,02-2088-3835,예성주야간보호센터에서 시니어사원 모집합니다.,2022-10-01
4,서울특별시 강남구,(주)에스피에스-10,마감,서울 강남구역삼1동,02-2088-3835,(주)에스피에스에서 시니어사원 모집합니다.,2022-10-01
5,서울특별시 강남구,(주)제이쓰리씨-01,마감,서울 강남구역삼1동,02-2088-3835,(주)제이쓰리씨에서 시니어사원 모집합니다.,2022-10-01
6,서울특별시 강남구,주식회사 링크바이저-01,마감,서울 강남구역삼1동,02-2088-3835,주식회사 링크바이저에서 시니어사원 모집합니다.,2022-09-30
7,서울특별시 강남구,(주)한협통상,마감,서울 강남구 논현2동,02-561-4439,한협통상 기타의복제조원(상품관리 및 검사) 채용주 5일 09:00-12:00월 80만원남여 상관없음위치: 강남구 테헤란로,2022-09-30
8,서울특별시 강남구,(주)이즈파크,마감,,02-6430-1632,(주)이즈파크 시니어 사원을 모집합니다.,2022-09-30
9,서울특별시 강남구,내이루리 주식회사,마감,,050-7417-8892,내이루리 주식회사 시니어 사원을 모집합니다.,2022-09-30
10,서울특별시 강남구,노무법인 산재,마감,,02)6011-1516,시니어 사원 모집합니다.,2023-01-02
11,서울특별시 강남구,(주)에스피에스-11,접수중,서울 강남구역삼1동,02-2088-3835,(주)에스피에스에서 시니어사원 모집합니다.,2022-11-01
12,서울특별시 강남구,(주)에스유엔컴퍼니-01,마감,서울 강남구역삼1동,02-2088-3835,(주)에스유엔컴퍼니에서 시니어사원 모집합니다.,2022-10-01
13,서울특별시 강남구,예성주야간보호센터-01,마감,서울 강남구역삼1동,02-2088-3835,예성주야간보호센터에서 시니어사원 모집합니다.,2022-10-01
14,서울특별시 강남구,(주)에스피에스-10,마감,서울 강남구역삼1동,02-2088-3835,(주)에스피에스에서 시니어사원 모집합니다.,2022-10-01
15,서울특별시 강남구,(주)제이쓰리씨-01,마감,서울 강남구역삼1동,02-2088-3835,(주)제이쓰리씨에서 시니어사원 모집합니다.,2022-10-01
16,서울특별시 강남구,주식회사 링크바이저-01,마감,서울 강남구역삼1동,02-2088-3835,주식회사 링크바이저에서 시니어사원 모집합니다.,2022-09-30
17,서울특별시 강남구,(주)한협통상,마감,서울 강남구 논현2동,02-561-4439,한협통상 기타의복제조원(상품관리 및 검사) 채용주 5일 09:00-12:00월 80만원남여 상관없음위치: 강남구 테헤란로,2022-09-30
18,서울특별시 강남구,(주)이즈파크,마감,,02-6430-1632,(주)이즈파크 시니어 사원을 모집합니다.,2022-09-30
19,서울특별시 강남구,내이루리 주식회사,마감,,050-7417-8892,내이루리 주식회사 시니어 사원을 모집합니다.,2022-09-30
20,서울특별시 강남구,(주)조은시스템,마감,,02-2122-7636,(주)조은시스템 시니어 사원을 모집합니다.,2022-09-30
21,서울특별시 강남구,치휴한방병원-01,마감,서울 강남구역삼1동,02-2088-3835,치휴한방병원에서 시니어사원 모집합니다.,2022-09-07
22,서울특별시 강남구,(주)에스피에스-09,마감,서울 강남구역삼1동,02-2088-3835,(주)에스피에스에서 시니어사원 모집합니다.,2022-09-01
23,서울특별시 강남구,(주)대유산업개발-01,마감,서울 강남구역삼1동,02-566-3063,(주)대유산업개발에서 시니어 사원 모집합니다.,2022-09-01
24,서울특별시 강남구,(주)디에이치케이팜,마감,,02-2213-0364,디에이치케이팜 시니어 사원을 모집합니다.,2022-09-01
25,서울특별시 강남구,(주)이지아이디,마감,,02-555-0617,(주)이지아이디 시니어 사원을 모집합니다.,2022-08-31
26,서울특별시 강남구,주식회사 씨엔비위즈,마감,,02-432-6055,주식회사 씨엔비위즈 시니어 사원을 모집합니다.,2022-08-31
27,서울특별시 강남구,(주)제이제이글로비스,마감,,6011-1516,시니어사원을 모집합니다.,2022-08-25
28,서울특별시 강남구,(주)바바리안모터스,마감,,02-6011-1516,시니어 사원을 모집합니다,2022-08-16
29,서울특별시 강남구,CU 창동우리점-01,마감,서울 강남구역삼1동,02-2088-3835,CU 창동우리점에서 시니어사원 모집합니다.,2022-08-15
30,서울특별시 강남구,(주)에치에프알,마감,,02)6011-1516,시니어사원을 모집합니다.,2022-08-03
31,서울특별시 강남구,(주)제이노블,마감,,02-6011-1516,시니어 사원을 모집합니다.,2022-07-20
32,서울특별시 강남구,(주)에스피에스-08,마감,서울 강남구역삼1동,02-2088-3835,(주)에스피에스에서 시니어사원 모집합니다.,2022-07-01
33,서울특별시 강남구,(주)에스피에스-07,마감,서울 강남구역삼1동,02-2088-3835,(주)에스피에스에서 시니어사원 모집합니다.,2022-07-01
34,서울특별시 강남구,강남유명요양원,마감,서울 강남구 논현2동,02-451-3772,"간호조무사 채용9시~18시월 200만원주5일자격증 필수, 전산가능하신분",2022-06-30
35,서울특별시 강남구,(주)빌텍,마감,,6011-1516,시니어 사원 모집합니다.,2022-06-18
36,서울특별시 강남구,(주)에이럭스 2기,마감,,02-1544-9782,"1. 사업명 : (주)에이럭스 시니어인턴십(체험형) 사업 운영 안내2. 사업내용 : 디지털 교육 사업 참여 관련 인력 채용(교육 보조 및 간단 사무)3. 운영계획 : 시니어인턴십(체험형) 3개월 운영 후 종료4. 직무교육 : 안전 교육 및 직무(실무 및 실습) 5. 모집연령대 : 60대 이상6. 근무지역 : 관련 사업장(서울 및 전국)7.급여조건 : 회사 내규에 한함8.사내복지 : 4대보험, 정규직전환 가능, 경조사 등",2022-06-12
37,서울특별시 강남구,(주)이지텍-01,마감,서울 강남구역삼1동,02-2088-3835,(주)이지텍에서 시니어사원 모집합니다.,2022-06-02
38,서울특별시 강남구,(주)에스피에스-06,마감,서울 강남구역삼1동,02-2088-3835,(주)에스피에스에서 시니어사원 모집합니다.,2022-06-01
39,서울특별시 강남구,CU 태백번영로점-01,마감,서울 강남구역삼1동,02-2088-3835,CU 태백번영로점에서 시니어사원을 모집합니다.,2022-06-01
40,서울특별시 강남구,(주)인터컴,마감,서울 강남구 논현2동,02-566-5590,60대 인사 평가 관리자 급 모집주5일 9시~18시평가제도 설계 가능한 자업무평가에 따른 정규직 전환 가능,2022-05-31
41,서울특별시 강남구,제이제이정보통신 주식회사,마감,서울 강남구 논현2동,010-8702-0676,"LG유플러스 전주작업 수신호 보조2명 60대 / 건강하신분월 1,940,000원(식대 별도)강남구 내 근무",2022-05-27
42,서울특별시 강남구,트리니티요양병원-01,마감,서울 강남구역삼1동,02-2088-3835,트리니티요양병원에서 시니어사원 모집합니다.,2022-05-13
43,서울특별시 강남구,(주)차오르 2기,마감,,02-3461-2266,"1. 사업명 : (주)차오르 시니어인턴십(경력자 채용) 사업 운영 안내2. 사업내용 : 시행 업무 관리3. 부서배치 및 참여인원 : 경영 지원 관리자 1명4. 운영계획 : 시니어인턴십 3개월 운영 후 계속 고용 유지5. 직무교육 : 안전 교육 및 직무(실무 교육) 6. 모집연령대 : 60대7. 근무지역 : 해당 사업장8. 자격사항 : 경력자, 관련 자격증 소지자9.급여조건 : 회사 내규에 한함10.사내복지 : 4대보험, 정규직전환 가능, 경조사 등",2022-05-10
44,서울특별시 강남구,해성손해사정(주)-01,마감,서울 강남구역삼1동,02-2088-3835,해성손해사정(주)에서 시니어사원 모집합니다.,2022-05-01
45,서울특별시 강남구,(주)에스피에스-05,마감,서울 강남구역삼1동,02-2088-3835,(주)에스피에스에서 시니어사원 모집합니다.,2022-05-01
