,a,b,c,d,e,f,g
0,서울특별시 서대문구,공동작업장(해피워크),마감,,02-6380-9988,"1. 활동시간 : 일 3시간 /  주 2~3회 / 월 30시간 활동2. 활동비 : 월 27만원3. 신청자격 : 만 65세 이상 기초연금수급자4. 준비서류 : 주민등록등본 1부(3개월 이내), 관련자격증 사본(또는 관련 이력서), 코로나19 백신접종 본인확인가능 서류5. 문의 : ***-****-****6. 접수 : 서대문구 모래내로 13길, 13 서대문시니어클럽",2021-12-17
1,서울특별시 서대문구,안산숲사랑,마감,,02-6380-9988,"1. 활동시간 : 일 3시간 / 주 2-3회 / 월 30시간 이상     2. 활동비: 월270,000원     3. 신청자격 : 만 65세 이상 기초연금수급자     ",2021-12-17
2,서울특별시 서대문구,경로당 환경지킴이,마감,서울특별시 서대문구 홍제동 294-46 유진상가,02-363-1334,"1. 활동시간: 주3회 / 월30시간 활동2. 활동비: 월27만원3. 신청자격: 만65세이상 기초연금수급자4. 신청제외자- 국민기초생활보장법에 의한 생계급여수급자- 정부부처 및 지자체에서 추진 중인 일자리 사업 참여자- 국민건강보험 직장가입자- 장기요양보험 등급판정자5. 참여선발: 개별상담을 통해 참여자선발기준표 작성하여 고득점자순으로 통합 선발6. 준비서류: 주민등록등본 1부. 우리은행 통장사본, 코로나백신 확인서7. 신청장소: 대한노인회서대문구지회(유진상가 2층)",2021-12-17
3,서울특별시 서대문구,어르신복지지킴이,마감,서울 서대문구홍제2동,02-733-9225~6,"공익형 사업1. 사 업 명 : 어르신복지지킴이2. 활동기간 : 2021.2.1~11.303. 활동시간 : 주2~3회 / 월 30시간 활동4. 활동내용 : 복지센터 안내 및 질서유지, 안전사고 예방 및 관리,환경정비를 통한 어르신 문화 복지 공간 조성,교육 프로그램 관리 등 복지센터 업무지원,지역 내 기초생활수급자, 차상위계층, 저소득층 어르신 및 장애인, 고령자 등  취약계층을 대상으로 이미용 서비스(파마, 염색, 컷트) 제공5. 활동비 : 월27만원6. 신청자격 : 만65세 이상 기초연금 수급자7. 신청제외자: - 국민기초생활보장법에 의한 생계급여 수급자  (의료급여,교육급여,주거급여 수급자는 참여가능) - 정부부처 및 지자체에서 추진 중인 일자리 사업참여자 - 국민건강보험 직장가입자 - 장기요양보험 등급판정자(1~5등급),인지지원등급8. 참여자선발: 개별상담을 통해 ""참여자 선발기준표"" 작성하여 고득점자순으로 통합 선발9. 준비서류 : 주민등록등본 1부, 본인통장사본(활동비지급용)1부,코로나19백신접종증명서1부,  신분증지참10. 신청장소 : 인왕어르신복지센터(서울시 서대문구 통일로26길 12-5)",2021-12-17
4,서울특별시 서대문구,복지시설지원사업,마감,서울 서대문구천연동,02-3645-0612,"1. 활동시간 : 주 2~3회 / 일 3시간, 월 10회 (총 30시간) 활동2. 활 동 비 : 월 270,000원",2021-12-17
5,서울특별시 서대문구,가재울환경지킴이,마감,서울 서대문구북가좌2동,02-376-5040,"● 모집분야 : 가재울환경지킴이● 모집인원 : 6명● 근무시간 : 주 2~3회 일 3시간 월 30시간● 근무기간 : 1월~10월(10개월)● 급여 : 월 만근시 27만원● 업무내용 : 센터 내부 및 외부 환경정화● 모집대상 및 참여조건 : 서대문구 거주 만 65세 이상 기초연금수급 어르신● 신청방법 및 신청장소 : 노인일자리사업수행기관 및 북가좌2동노인복지센터 방문접수 ● 신청제외자 : - 정부부처 및 지자체에서 추진 중인 일자리사업 참여자 - 국민건강보험 직장가입자 -국민기초생활보장법에 의한 생계급여수급자 - 장기요양보험 등급판정자(1~5등급), 인지지원등급판정자● 참여자선발 : 개별상담을 통해 ""참여자 선발기준표"" 작성하여 고득점자순으로 통합 선발● 준비서류 : 주민등록등본 1부, 건강보험자격득실 확인서 1부, 관련자격증 사본(또는 관련 이력서)● 신청장소 : 오프라인(관내주민센터, 북가좌2동노인복지센터), 온라인(복지로온라인신청-http://online.bokjiro.go.kr)",2021-12-17
6,서울특별시 서대문구,요보호 어르신을 위한 노인돌봄지원사업,마감,서울 서대문구천연동,02-6945-0613,"1. 활동시간 : 주 2~3회 / 일 3시간, 월 10회 (총 30시간) 활동
2. 활 동 비 : 월 270,000원
3. 신청자격 : 만 65세 이상 기초연금수급자
                     (국민기초생활보장법에 의한 생계급여 수급자, 국민건강보험 직장가입자, 장기요양보험 등급판정자 제외)
4. 참여자선발 : 개별 상담을 통해 '참여자 선발기준표; 작성하여 고득점자순으로 통합 선발
5. 준비서류 : 주민등록등본 1부 , 백신접종증명서(2차 완료 해당시)
                     (합격자 추가제출 서류 : 사진 1매, 통장사본)
6. 신청장소 : 본 복지관 1층 노인일자리 사무실",2021-12-17
7,서울특별시 서대문구,불법촬영단속사업,마감,서울 서대문구천연동,02-6945-0613,"1. 활동시간 : 주 2~3회 / 일 3시간, 월 10회 (총 30시간) 활동
2. 활 동 비 : 월 270,000원
3. 신청자격 : 만 65세 이상 기초연금수급자
                     (국민기초생활보장법에 의한 생계급여 수급자, 국민건강보험 직장가입자, 장기요양보험 등급판정자 제외)
4. 참여자선발 : 개별 상담을 통해 '참여자 선발기준표; 작성하여 고득점자순으로 통합 선발
5. 준비서류 : 주민등록등본 1부, 백신접종증명서(2차 완료 해당시)
                     (합격자 추가제출 서류 : 사진 1매, 통장사본)
6. 신청장소 : 본 복지관 1층 노인일자리 사무실",2021-12-17
8,서울특별시 서대문구,1·3세대 통합을 위한 강사파견사업,마감,서울 서대문구천연동,02-6945-0613,"1. 활동시간 : 주 2~3회 / 일 3시간, 월 10회 (총 30시간) 활동
2. 활 동 비 : 월 270,000원
3. 신청자격 : 만 65세 이상 기초연금수급자
                     (국민기초생활보장법에 의한 생계급여 수급자, 국민건강보험 직장가입자, 장기요양보험 등급판정자 제외)
4. 참여자선발 : 개별 상담을 통해 '참여자 선발기준표; 작성하여 고득점자순으로 통합 선발
5. 준비서류 : 주민등록등본 1부, 백신접종증명서(2차 완료 해당시)
                     (합격자 추가제출 서류 : 사진 1매, 통장사본)
6. 신청장소 : 본 복지관 1층 노인일자리 사무실",2021-12-17
9,서울특별시 서대문구,공공자전거대여소따릉이사업,마감,서울특별시 서대문구 홍제동 294-46 유진상가,070-4467-3729,"1. 활동시간: 주3회 / 월30시간 활동2. 활동비: 월27만원3. 신청자격: 만65세이상 기초연금수급자4. 신청제외자- 국민기초생활보장법에 의한 생계급여수급자- 정부부처 및 지자체에서 추진 중인 일자리 사업 참여자- 국민건강보험 직장가입자- 장기요양보험 등급판정자5. 참여선발: 개별상담을 통해 참여자선발기준표 작성하여 고득점자순으로 통합 선발6. 준비서류: 주민등록등본 1부. 우리은행 통장사본, 코로나백신 확인서7. 신청장소: 대한노인회서대문구지회(유진상가 2층) ",2021-12-17
