    ,a,b,c,d,e,f,g
0,서울특별시 양천구,의료법인 태인의료재단,접수중,,041-851-7606,"** 요양병원에서 직원을 모집합니다. **1. 회사위치 : 충남 공주시2. 근무시각 : 09-18시3. 모집분야 : 간호사, 조무사, 조리원60대 성실한 시니어 환영합니다. ",2022-12-31
1,서울특별시 양천구,중구의료소비자생활협동조합 보문산생태요양병원,마감,,042-222-5567,"<보문산생태요양병원>*모집직종:조리사,조리원 *모집인원:10명*근무시간:06시~18시*근무장소:대전시 중구 보문산공원로 473",2022-12-31
2,서울특별시 양천구,의료법인 기호의료재단 동해요양병원,접수중,,070-7198-7244,"** 요양병원에서 직원을 모집합니다. **1. 회사위치 : 강원도 동해2. 모집직종 : 간호사, 간호조무사, 조리원3. 모집인원 : 각 5명60대 성실한 시니어 환영합니다. ",2022-11-30
3,서울특별시 양천구,주식회사 에이치앤에스아이엔씨,마감,,010-9767-3533,** 기업에서 주방보조원 모집합니다. **1. 회사위치 : 서울 성북구2. 모집인원 : 10명60대 성실한 시니어 환영합니다. ,2022-11-30
4,서울특별시 양천구,(주)샤이닝,마감,,070-4351-2616,** 강사를 모집합니다. **1. 회사위치 : 경기도 부천2. 모집직종 : 검도강사3. 모집인원 : 1명60대 성실한 시니어 환영합니다. ,2022-11-30
5,서울특별시 양천구,유앤아이사회적협동조합,접수중,,010-3957-8741,** 쇼핑백 임가공 사원 모집합니다. **1. 회사위치 : 경기도 연천군2. 모집인원 : 20명60대 성실한 시니어 환영합니다. ,2022-11-30
6,서울특별시 양천구,주식회사 푸른종합개발,접수중,,010-7734-0099,** 개발회사에서 직원을 모집합니다. **1. 회사위치 : 강원도 원주2. 모집분야 : 인력관리3. 모집인원 : 5명성실한 60대 시니어 환영합니다. ,2022-11-30
7,서울특별시 양천구,주식회사 햇빛관광,마감,,010-5644-9758,** 관광버스 운전사원 모집합니다. **1. 회사위치 : 경기도 파주2. 모집인원 : 5명3. 근무형태 : 주 5일 / 격일제 등60대 성실한 시니어 환영합니다. ,2022-11-30
8,서울특별시 양천구,모던기업(주),접수중,,055-287-5723,** 시설관리자 모집합니다. **1. 회사위치 : 경남 창원시 성산구2. 모집인원 : 3명3. 모집분야 : 건설업체 시설관리60대 성실한 시니어 환영합니다. ,2022-11-30
9,서울특별시 양천구,유한의원,마감,,010-2741-7575,"** 한의원에서 직원을 모집합니다. **1. 병원위치 : 서울 관악구2. 모집직종 : 조무사, 조리원, 사무, 시설, 원무3. 모집인원 : 5명60대 성실한 시니어 환영합니다. ",2022-11-30
10,서울특별시 양천구,의료법인 태인의료재단,접수중,,041-851-7606,"** 요양병원에서 직원을 모집합니다. **1. 회사위치 : 충남 공주시2. 근무시각 : 09-18시3. 모집분야 : 간호사, 조무사, 조리원60대 성실한 시니어 환영합니다. ",2022-12-31
11,서울특별시 양천구,중구의료소비자생활협동조합 보문산생태요양병원,마감,,042-222-5567,"<보문산생태요양병원>*모집직종:조리사,조리원 *모집인원:10명*근무시간:06시~18시*근무장소:대전시 중구 보문산공원로 473",2022-12-31
12,서울특별시 양천구,의료법인 기호의료재단 동해요양병원,접수중,,070-7198-7244,"** 요양병원에서 직원을 모집합니다. **1. 회사위치 : 강원도 동해2. 모집직종 : 간호사, 간호조무사, 조리원3. 모집인원 : 각 5명60대 성실한 시니어 환영합니다. ",2022-11-30
13,서울특별시 양천구,주식회사 에이치앤에스아이엔씨,마감,,010-9767-3533,** 기업에서 주방보조원 모집합니다. **1. 회사위치 : 서울 성북구2. 모집인원 : 10명60대 성실한 시니어 환영합니다. ,2022-11-30
14,서울특별시 양천구,(주)샤이닝,마감,,070-4351-2616,** 강사를 모집합니다. **1. 회사위치 : 경기도 부천2. 모집직종 : 검도강사3. 모집인원 : 1명60대 성실한 시니어 환영합니다. ,2022-11-30
15,서울특별시 양천구,유앤아이사회적협동조합,접수중,,010-3957-8741,** 쇼핑백 임가공 사원 모집합니다. **1. 회사위치 : 경기도 연천군2. 모집인원 : 20명60대 성실한 시니어 환영합니다. ,2022-11-30
16,서울특별시 양천구,주식회사 푸른종합개발,접수중,,010-7734-0099,** 개발회사에서 직원을 모집합니다. **1. 회사위치 : 강원도 원주2. 모집분야 : 인력관리3. 모집인원 : 5명성실한 60대 시니어 환영합니다. ,2022-11-30
17,서울특별시 양천구,주식회사 햇빛관광,마감,,010-5644-9758,** 관광버스 운전사원 모집합니다. **1. 회사위치 : 경기도 파주2. 모집인원 : 5명3. 근무형태 : 주 5일 / 격일제 등60대 성실한 시니어 환영합니다. ,2022-11-30
18,서울특별시 양천구,모던기업(주),접수중,,055-287-5723,** 시설관리자 모집합니다. **1. 회사위치 : 경남 창원시 성산구2. 모집인원 : 3명3. 모집분야 : 건설업체 시설관리60대 성실한 시니어 환영합니다. ,2022-11-30
19,서울특별시 양천구,유한의원,마감,,010-2741-7575,"** 한의원에서 직원을 모집합니다. **1. 병원위치 : 서울 관악구2. 모집직종 : 조무사, 조리원, 사무, 시설, 원무3. 모집인원 : 5명60대 성실한 시니어 환영합니다. ",2022-11-30
20,서울특별시 양천구,산내효요양병원,마감,,010-3366-5091,"** 요양병원에서 직원 모집합니다. **1. 회사위치 : 대전 동구2. 근무시각 : 09-18시3. 모집분야 : 간호사, 조무사, 조리원, 시설관리4. 모집인원 : 5명60대 성실한 시니어 환영합니다. ",2022-11-30
21,서울특별시 양천구,(주)경일종합기술공사,마감,,02-840-5016,"** 설계, 감리, 사무직, 관리직 모집합니다. **1. 회사위치 : 충남 천안2. 근무시각 : 08-17시3. 모집인원 : 4명60대 성실한 시니어 환영합니다.",2022-11-30
22,서울특별시 양천구,한아름주간보호센터,마감,,070-4470-1152,"** 주간보호센터에서 직원을 모집합니다. **1. 근무지역 : 경기도 부천2. 모집직종 : 운전원, 조리원, 간호조무사3. 모집인원 : 총 4명성실한 60대 시니어 환영합니다. ",2022-11-30
23,서울특별시 양천구,구도일주유소 두꺼비,마감,,02-336-0611,** 주유원 모집합니다. **1. 회사위치 : 서울 서대문구2. 근무시각 : 05-14시3. 모집인원 : 1명60대 성실한 시니어 환영합니다. ,2022-11-30
24,서울특별시 양천구,(주)엑스퍼트,마감,,010-5033-7568,** 주방보조원 모집합니다. **1. 근무시각 : 08:30-17:302. 모집인원 : 20명3. 근무장소 : 서울 영등포성실한 60대 시니어 환영합니다.,2022-11-30
25,서울특별시 양천구,홍익병원,마감,,02-2600-0664,"< 홍익병원 >*모집직종 : 조무사, 조리사, 주차관리자*모집인원 : 4명*근무시간 : 09:00~17:00*근무장소 : 서울시 양천구 목동로 225",2022-11-30
26,서울특별시 양천구,카페 마실다실 본점,마감,,02-2648-9955,"1.활동시간 : 주 3회(일3~4)시간) / 월 32시간내외 활동2.활 동 비 : 월 29만원이상 / 시급(9,160)3.신청자격 : 만 60세 이상4.신청제외자 : - 국민기초생활보장법에 의한 생계급여 수급자 - 정부부처 및 지자체에서 추진 중인 일자리사업 참여자 - 국민건강보험 직장가입자 - 장기요양보험 등급판정자",2022-09-02
27,서울특별시 양천구,(주)온코어에스엔티,마감,,02-2038-2956,"<(주)온코어에스엔티>*모집직종-개발, 설계*모집인원-5명*근로시간-08시30분~17시30분*근로장소-구로구 디지털로 306호. 1110호",2022-08-05
28,서울특별시 양천구,농협파트너스,마감,,02)560-9140,"<농협파트너스>*모집직종-건설채굴단순종사원, 기타음식서비스종사원, 주차관리안내원, 기타 자동차 운전원, 기타 전기 전자 기기 설치 수리원, 기타 정보통신기기 설치수리원, 주방보조원*모집인원- 각분야 5~6명씩*근무시간-09시~18시*근무장소-올림픽로 48길 7 농협파트너스 1,2층 ",2022-08-04
29,서울특별시 양천구,엔젤크루키즈스위밍,마감,,010-8630-0815,"<엔젤크루키즈스위밍>*모집직종-운전원, 동승보조교사*모집인원- 운전원 3명, 동승보조교사 6명*근무시간-13시~21시*근무장소-시흥시 배곧4로 32-19",2022-07-29
30,서울특별시 양천구,(주)포근해,마감,,031-466-0524,** 도소매업장에서 직원을 모집합니다. **1. 회사위치 : 경기도 안양2. 모집직종 : 영업관리3. 모집인원 : 3명60대 성실한 시니어 환영합니다. ,2022-07-24
31,서울특별시 양천구,나다마,마감,,031-269-5151,<나다마>*모집직종-주유소운영 및 관리*모집인원-1명*근무시간-06시~15시*근무장소-장안구 덕양대로 557,2022-07-23
32,서울특별시 양천구,강릉참사랑요양원,마감,,010-2428-4303,<강릉참사랑요양원>*모집직종-조리원*모집인원-2명*근무시간-09시~18시*근무장소-강릉시 왕산면 노추산로 887,2022-07-23
