,a,b,c,d,e,f,g
0,울산광역시 남구,(주)캠텍,마감,,010-9476-9292,"기계조립, 전기조립원 모집 ",2222-01-01
1,울산광역시 남구,(주)준우테크,마감,,010-8853-7964,생산단순노무 3명 채용계획 ,2022-12-31
2,울산광역시 남구,(주)비견산업,마감,,010-2569-8585,곡직(조선업)현장직 5명 채용계획,2022-12-31
3,울산광역시 남구,(주)태성환경연구소,마감,,052-247-8691,악취측정 및 탈취제 납품,2022-12-31
4,울산광역시 남구,(주)대재종합건설,마감,,052-276-0404,현장소장 1명 채용 ,2022-12-31
5,울산광역시 남구,아주기업,접수중,,070-7010-9289,생산직 1명 모집,2022-12-31
6,울산광역시 남구,새나라어린이집,마감,,061-763-0805,어린이집 취사부 보조,2022-12-31
7,울산광역시 남구,(주)행복잇다 어르신전문프로그램강사 1기,접수중,,010-3296-8680,"1.사업명 : (주)행복잇다 어르신전문프로그램강사2.사업목적 : - 노인일자리 활성화 및 신규 일자리창출 - 어르신들이 경제 활동을 통한 우울증 감소 및 자신감 회복 - 소득 증대를 통한 경제력 확보 - 어르신들의 근무의욕 고취3.사업내용 : 어르신 전문 프로그램강사4.부서배치 및 참여인원 : 71명5.운영계획 : 시니어체험형 3개월 운영 후 신규고용6.직무교육 : - 오리엔테이션(1시간) : 직장 내 근무수칙, 직원소개 및 시설소개 - 직무교육(1시간) : 안전수칙교육 및 해당 업무 교육7.실시인원 : 체험형 71명, 훈련생 0명8.모집연령대 : 60대9.모집직종 : 스포츠강사, 레크리에이션강사 및 기타 관련 전문가10.근무지역 : 부산11.자격사항 : 무관12.고용예정인원 : 인턴십 시행이수 계속고용 또는 신규고용 예정인원 71명 100% 계획",2022-12-31
8,울산광역시 남구,한국자격교육협회 보조강사,접수중,,010-9911-3758,"1.사업명 : 한국자격교육협회 보조강사2.사업목적 : - 노인일자리 활성화 및 신규 일자리창출 - 어르신들이 경제 활동을 통한 우울증 감소 및 자신감 회복 - 소득 증대를 통한 경제력 확보 - 어르신들의 근무의욕 고취3.사업내용 : 시니어 전문 프로그램 보조강사4.부서배치 및 참여인원 : 보조강사 68명5.운영계획 : 시니어체험형 3개월 운영 후 신규고용6.직무교육 : - 오리엔테이션(1시간) : 직장 내 근무수칙, 직원소개 및 시설소개 - 직무교육(1시간) : 안전수칙교육 및 해당 업무 교육7.실시인원 : 체험형 68명8.모집연령대 : 60대9.모집직종 : 스포츠강사, 레크리에이션강사 및 기타 관련 전문가10.근무지역 : 울산11.자격사항 : 무관12.고용예정인원 : 인턴십 시행이수 계속고용 또는 신규고용 예정인원 68명 100% 계획",2022-12-31
9,울산광역시 남구,예인어린이집,마감,,010-8355-6862,"1.사업명 : 예인어린이집2.사업목적 : - 노인일자리 활성화 및 신규 일자리창출3.사업내용 : 미취학아동 교육4.부서배치 및 참여인원 : 사무보조 3명5.운영계획 : 시니어인턴십 3개월 운영 후 계속고용6.직무교육 : - 오리엔테이션(1시간) : 직장 내 근무수칙, 직원소개 및 시설소개 - 직무교육(1시간) : 안전수칙교육 및 해당 업무 교육7.실시인원 : 인턴 3명8.모집연령대 : 60대9.모집직종 : 주방보조원10.근무지역 : 울산11.자격사항 : 무관12.고용예정인원 : 인턴십 시행이수 계속고용 예정인원 3명 100% 계획",2022-12-31
10,울산광역시 남구,(주)캠텍,마감,,010-9476-9292,"기계조립, 전기조립원 모집 ",2222-01-01
11,울산광역시 남구,(주)준우테크,마감,,010-8853-7964,생산단순노무 3명 채용계획 ,2022-12-31
12,울산광역시 남구,(주)비견산업,마감,,010-2569-8585,곡직(조선업)현장직 5명 채용계획,2022-12-31
13,울산광역시 남구,(주)태성환경연구소,마감,,052-247-8691,악취측정 및 탈취제 납품,2022-12-31
14,울산광역시 남구,(주)대재종합건설,마감,,052-276-0404,현장소장 1명 채용 ,2022-12-31
15,울산광역시 남구,아주기업,접수중,,070-7010-9289,생산직 1명 모집,2022-12-31
16,울산광역시 남구,새나라어린이집,마감,,061-763-0805,어린이집 취사부 보조,2022-12-31
17,울산광역시 남구,(주)행복잇다 어르신전문프로그램강사 1기,접수중,,010-3296-8680,"1.사업명 : (주)행복잇다 어르신전문프로그램강사2.사업목적 : - 노인일자리 활성화 및 신규 일자리창출 - 어르신들이 경제 활동을 통한 우울증 감소 및 자신감 회복 - 소득 증대를 통한 경제력 확보 - 어르신들의 근무의욕 고취3.사업내용 : 어르신 전문 프로그램강사4.부서배치 및 참여인원 : 71명5.운영계획 : 시니어체험형 3개월 운영 후 신규고용6.직무교육 : - 오리엔테이션(1시간) : 직장 내 근무수칙, 직원소개 및 시설소개 - 직무교육(1시간) : 안전수칙교육 및 해당 업무 교육7.실시인원 : 체험형 71명, 훈련생 0명8.모집연령대 : 60대9.모집직종 : 스포츠강사, 레크리에이션강사 및 기타 관련 전문가10.근무지역 : 부산11.자격사항 : 무관12.고용예정인원 : 인턴십 시행이수 계속고용 또는 신규고용 예정인원 71명 100% 계획",2022-12-31
18,울산광역시 남구,한국자격교육협회 보조강사,접수중,,010-9911-3758,"1.사업명 : 한국자격교육협회 보조강사2.사업목적 : - 노인일자리 활성화 및 신규 일자리창출 - 어르신들이 경제 활동을 통한 우울증 감소 및 자신감 회복 - 소득 증대를 통한 경제력 확보 - 어르신들의 근무의욕 고취3.사업내용 : 시니어 전문 프로그램 보조강사4.부서배치 및 참여인원 : 보조강사 68명5.운영계획 : 시니어체험형 3개월 운영 후 신규고용6.직무교육 : - 오리엔테이션(1시간) : 직장 내 근무수칙, 직원소개 및 시설소개 - 직무교육(1시간) : 안전수칙교육 및 해당 업무 교육7.실시인원 : 체험형 68명8.모집연령대 : 60대9.모집직종 : 스포츠강사, 레크리에이션강사 및 기타 관련 전문가10.근무지역 : 울산11.자격사항 : 무관12.고용예정인원 : 인턴십 시행이수 계속고용 또는 신규고용 예정인원 68명 100% 계획",2022-12-31
19,울산광역시 남구,예인어린이집,마감,,010-8355-6862,"1.사업명 : 예인어린이집2.사업목적 : - 노인일자리 활성화 및 신규 일자리창출3.사업내용 : 미취학아동 교육4.부서배치 및 참여인원 : 사무보조 3명5.운영계획 : 시니어인턴십 3개월 운영 후 계속고용6.직무교육 : - 오리엔테이션(1시간) : 직장 내 근무수칙, 직원소개 및 시설소개 - 직무교육(1시간) : 안전수칙교육 및 해당 업무 교육7.실시인원 : 인턴 3명8.모집연령대 : 60대9.모집직종 : 주방보조원10.근무지역 : 울산11.자격사항 : 무관12.고용예정인원 : 인턴십 시행이수 계속고용 예정인원 3명 100% 계획",2022-12-31
20,울산광역시 남구,(주)마니힐링교육 시니어전문프로그램 보조강사,접수중,,010-4565-8682,"사업실행계획1.사업명 : 시니어전문프로그램 보조강사2.사업목적 : - 노인일자리 활성화 및 신규 일자리창출 - 어르신들이 경제 활동을 통한 우울증 감소 및 자신감 회복 - 소득 증대를 통한 경제력 확보 - 어르신들의 근무의욕 고취3.사업내용 : 시니어전문프로그램 강사양성교육 및 강사파견4.부서배치 및 참여인원 : 보조강사 81명5.운영계획 : 시니어인턴십 3개월 운영 후 신규고용6.직무교육 : - 오리엔테이션(1시간) : 직장 내 근무수칙, 직원소개 및 시설소개 - 직무교육(1시간) : 안전수칙교육 및 해당 업무 교육7.실시인원 : 체험 81명8.모집연령대 : 60대9.모집직종 : 스포츠강사,레크리에이션강사 및 기타 관련 전문가10.근무지역 : 경남 통영11.자격사항 : 무관12.고용예정인원 : 인턴십 시행이수 계속고용 또는 신규고용 예정인원 81명 100% 계획",2022-12-31
21,울산광역시 남구,(주)나비채 보조강사,접수중,,010-5313-5545,"사업실행계획1.사업명 : (주)나비채 보조강사2.사업목적 : - 노인일자리 활성화 및 신규 일자리창출 - 어르신들이 경제 활동을 통한 우울증 감소 및 자신감 회복 - 소득 증대를 통한 경제력 확보 - 어르신들의 근무의욕 고취3.사업내용 : 시니어전문프로그램 강사양성교육 및 강사파견4.부서배치 및 참여인원 : 보조강사 20명5.운영계획 : 시니어인턴십 3개월 운영 후 신규고용6.직무교육 : - 오리엔테이션(1시간) : 직장 내 근무수칙, 직원소개 및 시설소개 - 직무교육(1시간) : 안전수칙교육 및 해당 업무 교육7.실시인원 : 체험 20명8.모집연령대 : 60대9.모집직종 : 스포츠강사,레크리에이션강사 및 기타 관련 전문가10.근무지역 : 대구11.자격사항 : 무관12.고용예정인원 : 인턴십 시행이수 계속고용 또는 신규고용 예정인원 20명 100% 계획",2022-12-31
22,울산광역시 남구,아비아채하사정1920,마감,,010-3909-0050,주차관리 2명 ,2022-11-30
23,울산광역시 남구,난향요양원1,접수중,울산광역시 남구 신정동 1100-6,052-258-6789,시니어인턴십(난향요양원1)     1. 인턴기간 : 2022년 10월 28일 ~ 12월 31일2. 신청자격 : 만 60세 이상 누구나3. 근무시간 : 10시 ~18시 * 시간과 근로업무와 기업의 사정으로 변경될 수 있음.4. 모집직종 : ,2022-11-04
24,울산광역시 남구,나래특장,마감,,052-277-3900,무역사무원 1명 ,2022-10-31
25,울산광역시 남구,(주)호성이엔지,마감,,010-4517-9968,용접원10명 ,2022-10-31
26,울산광역시 남구,(주)보후,마감,,010-9337-2304,생산관리 4명 ,2022-10-31
27,울산광역시 남구,(주)해양서일,마감,,010-4573-3842,용접10명,2022-10-31
28,울산광역시 남구,다정다감재가주간보호센터,마감,,010-8528-8432,"운전기사, 주방보조 5명 ",2022-10-31
29,울산광역시 남구,한국인엔지니어링,마감,울산광역시 남구 신정동 1100-6,052-258-6789,시니어인턴십(한국인엔지니어링)1. 인턴기간 : 2020년 10월 11일 ~ 12월 31일2. 신청자격 : 만 60세 이상 누구나3. 근무시간 : 9시 ~18시 * 시간과 근로업무와 기업의 사정으로 변경될 수 있음.4. 모집직종 : 품질 사무직종사원(인턴)5. 모집인원 : 1명6. 근무지역 : 울산7. 자격사항 : 감리기술자격증8. 준비서류 : 건강보험자격득실확인서 1본9. 신청장소 : 방문접수 (울산남구시니어클럽 t***-****-****),2022-10-07
30,울산광역시 남구,동성테크(주),마감,,070-7010-9289,제조단순종사원 7명,2022-10-07
31,울산광역시 남구,(주)드림공조서비스,마감,,010-9677-8415,냉난방정비 4명 ,2022-09-30
32,울산광역시 남구,삼마피엔에스,마감,,010-4842-7522,"출하보조, 제품포장 등 단순생산보조 현장직 4명 ",2022-09-30
33,울산광역시 남구,해인기업,마감,,070-7010-9289,전기설비조작원 1명,2022-09-19
34,울산광역시 남구,태건이앤씨(주),마감,,070-7010-9289,제조단순종사자 1명,2022-09-16
35,울산광역시 남구,울산엘리야병원,마감,,070-7010-9289,조리원 5명,2022-09-09
36,울산광역시 남구,스페샬레카페,마감,울산광역시 남구 신정동 1100-6,052-258-6789,시니어인턴십(스페샬레카페)1. 인턴기간 : 2022년 9월 1일 ~ 12월 31일2. 신청자격 : 만 60세 이상 누구나3. 근무시간 : 9시 ~14시 * 시간과 근로업무와 기업의 사정으로 변경될 수 있음.4. 모집직종 : 주차관리원(인턴)5. 모집인원 : 2명6. 근무지역 : 울산7. 자격사항 : 주차원 교육 이수자8. 준비서류 : 주민등록등본 1본9. 신청장소 : 방문접수 (울산남구시니어클럽 t***-****-****),2022-09-09
37,울산광역시 남구,임마누엘산업,마감,,052-707-0902,미싱사 2명 ,2022-08-31
38,울산광역시 남구,울산하나방역,마감,,010-9984-4187,"소독, 방역원 3명 ",2022-08-31
39,울산광역시 남구,금강종합물류,마감,,010-6617-0068,화물 납품기사 3명 모집 ,2022-08-31
40,울산광역시 남구,알유티시산업,마감,,052-707-0902,미싱사 2명 채용계획 ,2022-08-31
41,울산광역시 남구,(주)티이씨,마감,,070-7010-9289,기계공학 기술자 1명,2022-08-26
42,울산광역시 남구,한울테크 주식회사,마감,,070-7010-9289,지게차운전자 및 신호수 5명,2022-08-19
43,울산광역시 남구,세명정공,마감,,070-7010-9289,생산관리 1명,2022-08-19
