,a,b,c,d,e,f,g
0,인천광역시 강화군,노노교육강사,마감,인천광역시 강화군 강화읍 남산리 223-1 강화노인복지회관,070-8892-6627,-,2021-12-17
1,인천광역시 강화군,명품마을가꾸기,마감,인천광역시 강화군 강화읍 남산리 223-1 강화노인복지회관,070-8892-6627,-,2021-12-17
2,인천광역시 강화군,우리마을가꾸기,마감,인천광역시 강화군 길상면 온수리 470-39 노인문화센,032-930-7107,-,2021-12-17
3,인천광역시 강화군,노노케어,마감,인천광역시 강화군 길상면 온수리 470-39 노인문화센,032-930-7107,-,2021-12-17
4,인천광역시 강화군,내고장환경지킴이,마감,인천광역시 강화군 길상면 온수리 470-39 노인문화센,032-930-7107,공익형사업     1.활동시간 : 주 2~3회 / 월 30시간 활동2.활 동 비 : 월 27만원3.신청자격 : 만 65세 이상 기초연금수급자4.신청제외자 : - 국민기초생활보장법에 의한 ,2021-12-17
5,인천광역시 강화군,세대공감하모니,마감,인천광역시 강화군 길상면 온수리 470-39 노인문화센,032-930-7107,공익형사업     1.활동시간 : 주 2~3회 / 월 30시간 활동2.활 동 비 : 월 27만원3.신청자격 : 만 65세 이상 기초연금수급자4.신청제외자 : - 국민기초생활보장법에 의한 ,2021-12-17
6,인천광역시 강화군,공공시설관리지원,마감,인천광역시 강화군 강화읍 남산리 223-1 강화노인복지회관,070-8892-6627,공익형사업     1.활동시간 : 주 2~3회 / 월 30시간 활동2.활 동 비 : 월 27만원3.신청자격 : 만 65세 이상 기초연금수급자4.신청제외자 : - 국민기초생활보장법에 의한 ,2021-12-17
7,인천광역시 강화군,환경지킴이,마감,인천광역시 강화군 강화읍 남산리 223-1 강화노인복지회관,070-8892-6627,공익형사업     1.활동시간 : 주 2~3회 / 월 30시간 활동2.활 동 비 : 월 27만원3.신청자격 : 만 65세 이상 기초연금수급자4.신청제외자 : - 국민기초생활보장법에 의한 ,2021-12-17
8,인천광역시 강화군,근린생활시설관리지원,마감,인천광역시 강화군 강화읍 남산리 223-1 강화노인복지회관,070-8892-6627,공익형사업     1.활동시간 : 주 2~3회 / 월 30시간 활동2.활 동 비 : 월 27만원3.신청자격 : 만 65세 이상 기초연금수급자4.신청제외자 : - 국민기초생활보장법에 의한 ,2021-12-17
9,인천광역시 강화군,경로당실버시터,마감,인천광역시 강화군 강화읍 남산리 223-1 강화노인복지회관,070-8892-6627,공익형사업     1.활동시간 : 주 2~3회 / 월 30시간 활동2.활 동 비 : 월 27만원3.신청자격 : 만 65세 이상 기초연금수급자4.신청제외자 : - 국민기초생활보장법에 의한 ,2021-12-17
