,a,b,c,d,e,f,g
0,인천광역시 동구,(주)서한안타민 1기,접수중,,032-428-8041,"생산직 시니어 채용, 추후 평가를 통해 계속고용 예정",2022-12-31
1,인천광역시 동구,아이시스템도장 1기,접수중,,032-428-8041,"제조 단순종사직 시니어 채용, 추후 평가를 통해 계속고용 예정",2022-12-31
2,인천광역시 동구,인천사랑요양병원 1기,마감,,032-428-8041,"간호사 시니어 채용, 추후 평가를 통해 계속고용 예정",2022-12-31
3,인천광역시 동구,(주)미르스타에프엔디 1기,접수중,,032-428-8041,"생산직(축산) 시니어 채용, 추후 평가를 통해 계속고용 예정잔업 있을 수 있음",2022-12-31
4,인천광역시 동구,현대식품 1기,접수중,,032-428-8041,"생산직 시니어 채용, 추후 평가를 통해 계속고용 예정",2022-12-31
5,인천광역시 동구,드림에어(주) 2기,마감,,032-428-8041,"생산직 시니어 채용, 추후 평가를 통해 계속고용 예정",2022-12-31
6,인천광역시 동구,주식회사 한인테크 1기,마감,,032-428-8041,"전착도장업 시니어 채용, 추후 평가를 통해 계속고용 예정",2022-12-31
7,인천광역시 동구,(주)아우레이트 1기,접수중,,032-428-8041,"생산직(초콜릿,캔디 제조업)  시니어 채용, 추후 평가를 통해 계속고용 예정",2022-12-31
8,인천광역시 동구,한림 1기,접수중,,032-428-8041,"제조업 단순종사직 시니어 채용, 추후 평가를 통해 계속고용 예정",2022-12-31
9,인천광역시 동구,신연안해수(주) 1기,마감,,032-428-8041,"운전직 시니어 채용, 추후 평가를 통해 계속고용 예정",2022-12-31
10,인천광역시 동구,(주)서한안타민 1기,접수중,,032-428-8041,"생산직 시니어 채용, 추후 평가를 통해 계속고용 예정",2022-12-31
11,인천광역시 동구,아이시스템도장 1기,접수중,,032-428-8041,"제조 단순종사직 시니어 채용, 추후 평가를 통해 계속고용 예정",2022-12-31
12,인천광역시 동구,인천사랑요양병원 1기,마감,,032-428-8041,"간호사 시니어 채용, 추후 평가를 통해 계속고용 예정",2022-12-31
13,인천광역시 동구,(주)미르스타에프엔디 1기,접수중,,032-428-8041,"생산직(축산) 시니어 채용, 추후 평가를 통해 계속고용 예정잔업 있을 수 있음",2022-12-31
14,인천광역시 동구,현대식품 1기,접수중,,032-428-8041,"생산직 시니어 채용, 추후 평가를 통해 계속고용 예정",2022-12-31
15,인천광역시 동구,드림에어(주) 2기,마감,,032-428-8041,"생산직 시니어 채용, 추후 평가를 통해 계속고용 예정",2022-12-31
16,인천광역시 동구,주식회사 한인테크 1기,마감,,032-428-8041,"전착도장업 시니어 채용, 추후 평가를 통해 계속고용 예정",2022-12-31
