건강생활지원센터명,건강생활지원센터 유형,소재지도로명주소,위도,경도,운영시작시각,운영종료시각,휴무일정보,건강증진사업내용,기타이용안내,의사수,간호사수,영양사수,신체활동전문인력수,물리/작업치료사수,사회복지사수,간호조무사수,기타인력현황,건강검진장비현황,체력측정장비현황,운동장비현황,금연사업장비현황,영양사업장비현황,절주사업장비현황,재활사업장비현황,기타보건교육장비현황,감염병예방장비현황,운영기관전화번호,관리기관명,데이터기준일자,제공기관코드,제공기관명
장전2동건강생활지원센터,동단위형,"부산광역시 금정구 금정로 29-6, 5층",35.22747442,129.0855113,09:00,17:00,토+일+공휴일,금연+절주+신체활동+영양+만성질환예방 및 관리사업+비만,장전2동 마을건강센터 운영,0,1,1,1,0,0,0,,인바디+혈압계,체성분분석기+자동혈압계,쇼울드링크+체스트링크+바우어링크+레그,없음,없음,없음,없음,X,X,051-519-5801,부산광역시 금정구보건소,2022-08-08,B553430,한국건강증진개발원
문현2동건강생활지원센터,동단위형,부산광역시 남구 전포대로92번길 31-7,35.14527179,129.0686869,09:00,18:00,토+일+공휴일,심뇌혈관질환예방관리+신체활동+치매,,0,3,0,0,0,0,0,마을활동가(1),인바디+혈압계+혈당기+당화혈색소측정기,없음,없음,없음,없음,없음,없음,X,X,051-607-6931,부산광역시 남구보건소,2022-08-08,B553430,한국건강증진개발원
금정구건강생활지원센터,기본형,부산광역시 금정구 서동로 175번길 41-5,35.21544759,129.1074472,09:00,18:00,토+일+공휴일,금연+절주+신체활동+영양+만성질환예방 및 관리사업+재활,서3동 마을건강센터 운영,0,2,0,1,1,0,0,,인바디+혈압계,악력측정기+유연성측정기+근지구력측정기,러닝머신+입식바이크+좌식바이크+벨트마,일산화탄소(CO)측정기+금연교육용 폐,식품모형전시대+고혈압당뇨식단 모형전시,없음,재활운동용 트레이드밀+공압식 운동기기,X,X,051-519-5481,부산광역시 금정구보건소,2022-08-08,B553430,한국건강증진개발원
행복동구건강생활지원센터,기본형,부산광역시 동구 안창로 90,35.14449013,129.0396681,09:00,18:00,토+일+공휴일,재활+한의약건강증진+아토피 천식 예방관리+만성질환 예방 및 관리+금연+절주+신체활동+영양,범일1동 마을건강센터 운영,0,5,0,0,1,0,0,마을활동가(1),휴대용혈압계+청진기+당화혈색소측정기+,없음,로잉머신+요가매트+폼롤러+세라밴드2단,일산화탄소(CO)측정기+폐 비교모형 ,소금양 바로알기 패널+설탕양 바로알기,없음,체성분 측정기+펙덱플라이+리버스펙덱플,X,X,051-440-6391,부산광역시 동구보건소,2022-08-08,B553430,한국건강증진개발원
동래구건강생활지원센터,기본형,부산광역시 동래구 명장로32,35.20469662,129.1042478,09:00,17:00,토+일+공휴일,영양+신체활동+심뇌혈관질환예방관리+금연+절주+비만+치매,명장1동 마을건강센터 운영,1,3,1,1,0,0,0,마을활동가(1),인바디+혈압계+콜레스테롤 측정기+혈당,악력측정+배근력측정기,좌식사이클+체스트링크+쇼울더링크+바우,흡연자/비흡연자 폐비교 모형+일년치 ,LED 나트륨 케어 염도계+식단/식품,없음,없음,O,X,051-550-1992,부산광역시 동래구보건소,2022-08-08,B553430,한국건강증진개발원
당감건강생활지원센터,기본형,"부산광역시 부산진구 백양순환로 40, 당감4동주민센터 4층~5층",35.16822222,129.0334223,09:00,17:00,토+일+공휴일,심뇌혈관+신체활동+비만+영양+구강+금연+절주+치매,치매안심센터 당감분소+당감4동 마을건,0,2,1,1,0,0,0,치과위생사(1),자동혈압계+당화혈색소측정기+지질측정기,초음파신장기+배근력측정기+악력측정기+,쇼율더링크+체스트링크+바우어링크+레그,일산화탄소(CO)측정기,음식모형(염분1g식품모형도)+회전형 ,가상음주체험고글,구취측정기+에어필터치과공기압축기+역류,O,O,051-605-6113,부산광역시 부산진구보건소,2022-08-08,B553430,한국건강증진개발원
개금2동건강생활지원센터,동단위형,"부산광역시 부산진구 복지로 93, 개금2동주민센터 2층",35.14490697,129.0195347,09:00,17:00,토+일+공휴일,심뇌혈관+신체활동+비만+치매,개금2동 마을건강센터 운영,0,2,0,1,0,0,0,,자동혈압계+당화혈색소측정기+지질측정기,체성분분석기+자동혈압계,레그컬&레그익스텐션링크+업도미널&백익,없음,없음,없음,없음,X,X,051-605-6693,부산광역시 부산진구보건소,2022-08-08,B553430,한국건강증진개발원
다대건강생활지원센터,기본형,부산광역시 사하구 다대로 530번길 7,35.05916984,128.9713294,09:00,18:00,토+일+공휴일,만성질환 예방 및 관리사업+신체활동+영양+금연절주+정신건강관리,다대1동 마을건강센터 운영,0,2,1,1,0,0,0,마을활동가(1),인바디+혈압계+혈당계+콜레스테롤기계+,체력진단 및 운동가이드 시스템,바우어링크+레그링크+숄더링크+체스트링,일산화탄소(CO)측정기,염도계+비만체험복+근육모형ㆍ지방모형+,음주체험고글,없음,O,O,051-220-5727,부산광역시 사하구보건소,2022-08-08,B553430,한국건강증진개발원
중구건강생활지원센터,기본형,부산광역시 중구 흑교로 48(보수동1가),35.10377395,129.0253563,09:00,18:00,토+일+공휴일,영양+금연+절주+심뇌혈관질환예방관리+운동+재활,보수동 마을건강센터 운영,0,2,2,1,1,0,0,금연상담사(1),인바디+혈압계+콜레스테롤측정기+스트레,체력진단기 및 운동가이드시스템,체성분분석기+자동신장체중계+벨트마사지,일산화탄소(CO)측정기+1년치 타르의,빈혈측정기+영유아용신장체중계+식품모형,음주고글,좌식자전거+쇼울더링크+체스트링크+바우,O,X,051-600-4726,부산광역시 중구보건소,2022-08-08,B553430,한국건강증진개발원
문현1동건강생활지원센터,동단위형,부산광역시 남구 고동골로60번길 1,35.14253417,129.0713224,09:00,17:00,토+일+공휴일,심뇌혈관질환예방관리+신체활동+치매,,0,3,0,0,0,0,0,마을활동가(1),인바디+혈압계+혈당기+당화혈색소측정기,없음,없음,없음,없음,없음,없음,X,X,051-607-6912,부산광역시 남구보건소,2022-08-08,B553430,한국건강증진개발원
