,0
0,"음악/콘서트
공연/전시
유료
대구
김미리네 피아노 독주회 [대구]
제공유형
오프라인
장소
달서아트센터
기간
2022-11-01~2022-11-01
문의처
에이엠엔터테인먼트 053-623-0684
자세히보기
예매 바로가기"
1,"국악
공연/전시
유료
서울
정수연 아홉 번째 작곡발표회, 흔적Ⅳ
제공유형
오프라인
장소
국립국악원 풍류사랑방
기간
2022-11-01~2022-11-01
문의처
정수연 010-8738-1012, sooyon0412@hanmail.net
자세히보기
예매 바로가기"
2,"음악/콘서트
공연/전시
유료
경기
Clarinet 김욱, Solitaire et Solidaire: 고독하지만 연대하는
제공유형
오프라인
장소
성남아트센터
기간
2022-11-01~2022-11-01
문의처
아르예술기획 010-5435-6957
자세히보기
예매 바로가기"
3,"국악
공연/전시
무료
서울
제39회 단국대학교 음악대학 국악과 추계정기연주회
제공유형
오프라인
장소
국립국악원 예악당
기간
2022-11-01~2022-11-01
문의처
단국대학교 음악대학 국악과 031-8005-3926
자세히보기
예매 바로가기"
4,"음악/콘서트
공연/전시
유료
서울
이재호 귀국 바이올린 독주회
제공유형
오프라인
장소
예술의전당 인춘아트홀
기간
2022-11-01~2022-11-01
문의처
푸른나무클래식 02-572-6646
자세히보기
예매 바로가기"
5,"음악/콘서트
공연/전시
유료
서울
제45회 신음악회 작품발표회
제공유형
오프라인
장소
세종문화회관 체임버홀
기간
2022-11-01~2022-11-01
문의처
현대문화기획 02-2266-1307
자세히보기
예매 바로가기"
6,"음악/콘서트
공연/전시
유료
서울
제22회 더 브라이튼 피아노 앙상블 연주회
제공유형
오프라인
장소
영산아트홀
기간
2022-11-01~2022-11-01
문의처
더브라이튼피아노앙상블 010-2606-4451
자세히보기
예매 바로가기"
7,"국악
공연/전시
유료
부산
힐링콘서트, 영남 명창 명인 가을의 향연 초청전
제공유형
오프라인
장소
을숙도문화회관
기간
2022-11-01~2022-11-01
문의처
을숙도문화회관 051-220-5811
자세히보기
예매 바로가기"
8,"음악/콘서트
공연/전시
유료
트럼펫의 거장 에릭 오비에 초청 콘서트 [대전]
제공유형
오프라인
장소
클라라하우스 (클라라하우스)
기간
2022-11-01~2022-11-01
문의처
클라라하우스 042-867-3751
자세히보기
예매 바로가기"
9,"음악/콘서트
공연/전시
유료
서울
제39회 대한민국국제음악제
제공유형
오프라인
장소
예술의전당 콘서트홀
기간
2022-11-01~2022-11-01
문의처
한국음악협회 사무국 02-2655-3082, 3065
자세히보기
예매 바로가기"
10,"음악/콘서트
공연/전시
유료
서울
THE PIM 창단연주회
제공유형
오프라인
장소
일신홀
기간
2022-11-01~2022-11-01
문의처
The PIM 010-2802-1672
자세히보기
예매 바로가기"
11,"음악/콘서트
공연/전시
유료
부산
부산시립교향악단 기획음악회, 미완성 음악회 Ⅴ
제공유형
오프라인
장소
부산문화회관 대극장
기간
2022-11-01~2022-11-01
문의처
부산문화회관 051-607-6000 (ARS 1번)
자세히보기
예매 바로가기"
12,"음악/콘서트
공연/전시
유료
부산
김성식 플루트 리사이틀
제공유형
오프라인
장소
부산문화회관 챔버홀
기간
2022-11-01~2022-11-01
문의처
아트뱅크코레아 051-442-1941
자세히보기
예매 바로가기"
13,"음악/콘서트
공연/전시
유료
경기
수원시립합창단 제183회 정기연주회 '만추연가(晩秋戀歌)'
제공유형
오프라인
장소
수원SK아트리움
기간
2022-11-01~2022-11-01
문의처
수원시립합창단 사무국 031-250-5352~7
자세히보기
예매 바로가기"
14,"음악/콘서트
공연/전시
유료
서울
임태훈 귀국 호른 독주회
제공유형
오프라인
장소
예술의전당 리사이틀홀
기간
2022-11-01~2022-11-01
문의처
1979 Seoul ENT. 070-8286-4523
자세히보기
예매 바로가기"
15,"국악
공연/전시
무료
서울
김경아의 피리세계
제공유형
오프라인
장소
국립국악원 우면당
기간
2022-11-01~2022-11-01
문의처
통기획 02-786-1442
자세히보기
예매 바로가기"
16,"연극
공연/전시
무료
경기
제2회 N티스트페스티벌, 이사
제공유형
오프라인
장소
다산아트홀
기간
2022-11-01~2022-11-01
문의처
남양주아트센터 031-592-1811
자세히보기
예매 바로가기"
17,"음악/콘서트
공연/전시
유료
경기
제183회 수원시립합창단 정기연주회
제공유형
오프라인
장소
수원SK아트리움
기간
2022-11-01~2022-11-01
문의처
수원시립합창단 사무국 031-250-5352~7
자세히보기
예매 바로가기"
18,"연극
공연/전시
유료
광주
제25회 광주소극장축제, 내가 가면 그게 길이지
제공유형
오프라인
장소
씨어터 연바람
기간
2022-11-01~2022-11-01
문의처
광주소극장협회 062-222-7008 / 010-4701-7300
자세히보기
예매 바로가기"
19,"국악
공연/전시
무료
경남
만보와 별별머리
제공유형
오프라인
장소
의령군민문화회관
기간
2022-11-01~2022-11-01
문의처
의령군민문화회관 055-570-4920
자세히보기
예매 바로가기"
20,"뮤지컬/오페라
공연/전시
유료
강원
무궁화 꽃이 피었습니다 [춘천]
제공유형
오프라인
장소
춘천인형극장 대극장
기간
2022-11-01~2022-11-01
문의처
강원도립극단 033-255-0496~7
자세히보기
예매 바로가기"
21,"국악
공연/전시
유료
경남
창녕문화예술회관 개관 10주년 기념 국악 콘서트
제공유형
오프라인
장소
창녕문화예술회관
기간
2022-11-01~2022-11-01
문의처
창녕문화예술회관 055-530-1911
자세히보기
예매 바로가기"
22,"연극
공연/전시
유료
서울
패크랫
제공유형
오프라인
장소
금나래아트홀
기간
2022-11-01~2022-11-01
문의처
금천문화재단 예술진흥팀 02-2627-2989
자세히보기
예매 바로가기"
23,"음악/콘서트
공연/전시
유료
경기
존노 리사이틀 with 홍진호 [경기 광주]
제공유형
오프라인
장소
남한산성아트홀
기간
2022-11-01~2022-11-01
문의처
광주시문화재단 031-762-8638
자세히보기
예매 바로가기"
24,"기타
공연/전시
유료
서울
디즈니 픽사 필름 콘서트: 코코 인 콘서트 (11.1)
제공유형
오프라인
장소
롯데콘서트홀
기간
2022-11-01~2022-11-01
문의처
코리아쿱오케스트라 02-597-6973
자세히보기
예매 바로가기"
25,"음악/콘서트
공연/전시
유료
서울
이효주 피아노 리사이틀
제공유형
오프라인
장소
예술의전당 IBK챔버홀
기간
2022-11-01~2022-11-01
문의처
목프로덕션 02-338-3816
자세히보기
예매 바로가기"
26,"국악
공연/전시
유료
서울
삼청각 수요상설공연, 퓨전국악그룹 퀸
제공유형
오프라인
장소
삼청각 일화당
기간
2022-09-21~2022-11-02
문의처
02-765-3000
자세히보기
예매 바로가기"
27,"연극
공연/전시
유료
인어; 바다를 부른 여인
제공유형
온라인
기간
2022-10-05~2022-11-02
문의처
010-2414-1714
자세히보기
예매 바로가기"
28,"전시
공연/전시
무료
서울
오, 찰나!
제공유형
오프라인
장소
어반플루토
기간
2022-10-29~2022-11-02
문의처
02-2633-1343
자세히보기
예매 바로가기"
