시도,시군구,센터명,장소/위치,이용정원,연락처
세종특별자치시,마음로,고운동(북측)복합커뮤니티센터,세종특별자치시 마음로 284 (고운동)4층 주부교실,10명,044-868-6024
세종특별자치시,대평1길,대평동복합커뮤니티센터,세종특별자치시 대평1길 10 (대평동)문화사랑방-2,10명,044-868-6024
경상북도,구미시,구미시 선산읍행정복지센터,경상북도 구미시 선산읍 선산중앙로 71-1 ,25명,054-841-2182
경상북도,구미시,구미시 종합비지니스지원센터,경상북도 구미시 구미대로 350-27 (신평동)구미시 종합비지니스지원센터 지하1층,32명,054-841-2182
경상북도,구미시,구미시립도서관인동분관,경상북도 구미시 인동14길 14 (진평동),18명,054-841-2182
경상북도,김천시,김천시 양금동행정복지센터,경상북도 김천시 강변로 178 (황금동)양금동행정복지센터 2층,10명,054-841-2182
경상북도,구미시,구미시 인동동행정복지센터,경상북도 구미시 인동15길 42 (인의동),15명,054-841-2182
세종특별자치시,해밀2로,해밀동복합커뮤니티센터,세종특별자치시 해밀2로 6 (해밀동)해밀동복합커뮤니티센터 2층 도서관 내 세미나실,10명,044-868-6024
경상북도,구미시,구미시 고아읍행정복지센터,경상북도 구미시 고아읍 선산대로 980 ,20명,054-841-2182
경기도,부천시,상동도서관,경기도 부천시 상이로 12 (상동)상동도서관3층,30명,1600-6813
경상북도,김천시,김천시 대신동행정복지센터,경상북도 김천시 신양1길 22 (신음동)대신동행정복지센터 2층,10명,054-841-2182
경상북도,안동시,안동시노인종합복지관,경상북도 안동시 축제장1길 49 (운흥동)1층 미디어실,10명,054-841-2182
부산광역시,부산진구,개금종합사회복지관,부산광역시 부산진구 백양관문로77번길 140 (개금동)개금종합사회복지관,12명,070-5029-0817
경상북도,울진군,남울진민원센터,경상북도 울진군 평해읍 월송정로 103 2층,10명,054-841-2182
세종특별자치시,노을3로,한솔동복합커뮤니티센터,세종특별자치시 노을3로 85 (한솔동)정음관2층 솔마루-4,10명,044-868-6024
경상북도,경주시,경주시 성건동주민자치센터,경상북도 경주시 북문로 15 (성건동),10명,054-841-2182
서울특별시,강동구,서울시민대학 동남권캠퍼스,"서울특별시 강동구 고덕로 399 (고덕동, 고덕센트럴푸르지오)4층 교육장 (소프트웨어3실 & 스마트강의실)",10명,1544-9782
경기도,과천시,대한민국여성능력개발협회,경기도 과천시 삼부골2로 24 (주암동)2층 제 2실습실,10명,1600-6813
경상남도,양산시,양산시 가족센터,경상남도 양산시 양주1길 7-1,10명,055-213-2775
광주광역시,북구,무등종합사회복지관,"광주광역시 북구 삼정로 10 (두암동, 두암주공4단지 아파트)2층",8명,062-224-0096
서울특별시,금천구,금천누리복지관,서울특별시 금천구 가산로 129 (가산동)금천누리종합사회복지관 3층 교육실,10명,1544-9782
부산광역시,동래구,쌍용예가 커뮤니티센터,"부산광역시 동래구 사직로 80 (사직동, 사직 쌍용 예가)쌍용아파트 관리사무소 1층",10명,051-987-0201 
충청남도,아산시,온주종합사회복지관,"충청남도 아산시 외암로 1420 (읍내동, 주공아파트)온주종합사회복지관 3층 컴퓨터실",15명,041-415-1097(~1098)
경상북도,경주시,경주시민정보화교육장,경상북도 경주시 금성로318번길 21-4 (서부동),20명,054-841-2182
부산광역시,동래구,팽나무하우스,부산광역시 동래구 충렬대로256번길 31 1797 팽나무하우스,10명,070-5029-0817
경상남도,양산시,양산시 종합사회복지관,경상남도 양산시 물금읍 오봉10길 8,10명,055-213-2777
경상북도,포항시,포항시 청하면행정복지센터,경상북도 포항시 북구 청하면 청하로217번길 22 2층,9명,054-841-2182
부산광역시,동래구,숲도서관,부산광역시 동래구 안락동 107-1 1층,8명,070-5029-0817
경기도,시흥시,대야평생학습센터,경기도 시흥시 은행로173번길 14 (대야동)대야평생학습센터,10명,1600-6813
경기도,시흥시,북부노인복지관,"경기도 시흥시 은계중앙로 37 (은행동, 시흥은계엘에이치7단지)북부노인복지관1층",10명,1600-6813
전라북도,남원시,오들 작은도서관,"전라북도 남원시 오들1길 26 (도통동, 부영5차아파트)부영5차아파트 내 오들작은도서관",10명,1899-6222
경상북도,안동시,안동시청,경상북도 안동시 퇴계로 115 (명륜동)대동관 2층 정보화교육장,30명,054-841-2182
경상북도,청도군,청도군 가족센터,경상북도 청도군 화양읍 청려로 1846 ,20명,054-841-2182
서울특별시,구로구,스마트 구로 홍보관,서울특별시 구로구 새말로 지하117-21 (신도림동)디큐브시티 지하 1층(신도림역 1번출구 방향),10명,1544-9782
