시설명,시도,시군구,시설유형(대),시설유형(중),시설유형(소),연락처
효천성바오로집,서울특별시,강남구,노인,노인주거복지시설,양로시설,02-572-5701
서울시니어스타워(주)강남본부,서울특별시,강남구,노인,노인주거복지시설,노인복지주택,02-2223-3351
더시그넘하우스,서울특별시,강남구,노인,노인주거복지시설,노인복지주택,02-576-4400
국민건강보험공단 서울요양원,서울특별시,강남구,노인,노인의료복지시설,노인요양시설,02-2160-1000
구립 역삼노인요양센터,서울특별시,강남구,노인,노인의료복지시설,노인요양시설,02-501-5684
강남 성은실버케어스,서울특별시,강남구,노인,노인의료복지시설,노인요양시설,02-6084-7800
강남구립 논현요양센터,서울특별시,강남구,노인,노인의료복지시설,노인요양시설,02-6954-3662
광림노인전문요양원,서울특별시,강남구,노인,노인의료복지시설,노인요양시설,033-263-3995
더시그넘하우스 너싱홈,서울특별시,강남구,노인,노인의료복지시설,노인요양시설,02-576-4400
강남실버센터,서울특별시,강남구,노인,노인의료복지시설,노인요양시설,02-549-7133
한마음요양원,서울특별시,강남구,노인,노인의료복지시설,노인요양공동생활가정,02-577-0091
강남유명요양원,서울특별시,강남구,노인,노인의료복지시설,노인요양공동생활가정,02-445-3770
구립대치노인요양센터,서울특별시,강남구,노인,노인의료복지시설,노인요양공동생활가정,02-564-0108
강남구립 논현노인종합복지관,서울특별시,강남구,노인,노인여가복지시설,노인복지관,02-541-0226
강남구립 대치노인복지센터,서울특별시,강남구,노인,노인여가복지시설,노인복지관,02-564-0108
강남구립 강남시니어플라자,서울특별시,강남구,노인,노인여가복지시설,노인복지관,02-3467-9900
강남구립 강남노인종합복지관,서울특별시,강남구,노인,노인여가복지시설,노인복지관,02-549-7070
강남구립 역삼노인복지센터,서울특별시,강남구,노인,노인여가복지시설,노인복지관,02-501-5674
강남구립 압구정노인복지센터,서울특별시,강남구,노인,노인여가복지시설,노인복지관,02-548-9898
강남구립 강남70플러스라운지,서울특별시,강남구,노인,노인여가복지시설,노인교실,02-573-7080
역삼사랑데이케어센터,서울특별시,강남구,노인,재가노인복지시설,재가노인복지시설,02-568-4001
선우재가복지센터,서울특별시,강남구,노인,재가노인복지시설,재가노인복지시설,02-451-8663
브라보 시니어케어,서울특별시,강남구,노인,재가노인복지시설,재가노인복지시설,070-4060-5196
구립 역삼데이케어센터,서울특별시,강남구,노인,재가노인복지시설,재가노인복지시설,02-501-5684
강남구립 세심정데이케어센터,서울특별시,강남구,노인,재가노인복지시설,재가노인복지시설,02-3443-7142
카리스 사회적협동조합,서울특별시,강남구,노인,재가노인복지시설,재가노인복지시설,02-572-7585
보살핌 재가센터,서울특별시,강남구,노인,재가노인복지시설,재가노인복지시설,02-562-8850
강남제일재가노인복지센터,서울특별시,강남구,노인,재가노인복지시설,재가노인복지시설,02-577-3345
세곡데이케어센터,서울특별시,강남구,노인,재가노인복지시설,재가노인복지시설,02-2226-8880
케어링 복지용구센터,서울특별시,강남구,노인,재가노인복지시설,재가노인복지시설,070-4299-3448
강남데이케어센터,서울특별시,강남구,노인,재가노인복지시설,재가노인복지시설,02-549-8488
아리아케어방문요양강남대치센터,서울특별시,강남구,노인,재가노인복지시설,재가노인복지시설,02-508-2239
구립대치데이케어센터,서울특별시,강남구,노인,재가노인복지시설,재가노인복지시설,02-564-0108
목련데이케어센터,서울특별시,강남구,노인,재가노인복지시설,재가노인복지시설,02-3412-2226
노인통합지원센터,서울특별시,강남구,노인,재가노인복지시설,재가노인복지시설,02-557-8091
삼성 재가복지센터,서울특별시,강남구,노인,재가노인복지시설,재가노인복지시설,02-567-4090
허니재가방문요양센터,서울특별시,강남구,노인,재가노인복지시설,재가노인복지시설,02-451-4876
강남노인복지센터,서울특별시,강남구,노인,재가노인복지시설,재가노인복지시설,02-565-3857
압구정데이케어센터,서울특별시,강남구,노인,재가노인복지시설,재가노인복지시설,02-548-0206
A+효담라이프케어 OK복지용구,서울특별시,강남구,노인,재가노인복지시설,재가노인복지시설,02-1533-6709
마리아데이케어센터,서울특별시,강남구,노인,재가노인복지시설,재가노인복지시설,010-9928-9116
서울시니어스강남타워 데이케어센터,서울특별시,강남구,노인,재가노인복지시설,재가노인복지시설,02-2223-3340
연지 재가복지센터,서울특별시,강남구,노인,재가노인복지시설,재가노인복지시설,02-6348-0821
더케어방문요양센터,서울특별시,강남구,노인,재가노인복지시설,재가노인복지시설,02-539-2227
학수정데이케어센터,서울특별시,강남구,노인,재가노인복지시설,재가노인복지시설,02-518-9198
역삼재가노인데이케어센터,서울특별시,강남구,노인,재가노인복지시설,재가노인복지시설,02-564-9294
한마음데이케어센터,서울특별시,강남구,노인,재가노인복지시설,재가노인복지시설,02-577-0091
효사랑 부모님 돌봄 재가복지센터,서울특별시,강남구,노인,재가노인복지시설,재가노인복지시설,02-451-1952
예은 재가복지센터,서울특별시,강남구,노인,재가노인복지시설,재가노인복지시설,02-567-7852
행복재가노인복지센터,서울특별시,강남구,노인,재가노인복지시설,재가노인복지시설,02-3411-8274
아리아케어 방문요양 강남 압구정센터,서울특별시,강남구,노인,재가노인복지시설,재가노인복지시설,02-6014-7822
가화락 재가노인복지센터,서울특별시,강남구,노인,재가노인복지시설,재가노인복지시설,02-571-7608
명화 데이케어센터,서울특별시,강남구,노인,재가노인복지시설,재가노인복지시설,02-459-2696
국민건강보험공단 서울요양원 재가복지센터,서울특별시,강남구,노인,재가노인복지시설,재가노인복지시설,02-2160-1000
사)한국한아름복지회 재가노인지원센터,서울특별시,강남구,노인,재가노인복지시설,재가노인복지시설,02-573-7943
개포데이케어센터,서울특별시,강남구,노인,재가노인복지시설,재가노인복지시설,02-3412-9988
강남논현데이케어센터,서울특별시,강남구,노인,재가노인복지시설,재가노인복지시설,02-547-0881
서울강남시니어클럽,서울특별시,강남구,노인,노인일자리지원기관,노인일자리지원기관,02-547-8866
소리마을노인홈,서울특별시,강동구,노인,노인주거복지시설,양로시설,02-473-6691
시립고덕양로원,서울특별시,강동구,노인,노인주거복지시설,양로시설,02-441-8886
강일성모노인요양원,서울특별시,강동구,노인,노인의료복지시설,노인요양시설,02-426-9663
