,시도,구분,제목,장소,기간,가격,문의처
19,대구광역시,뮤지컬/오페라,"제19회 대구국제오페라축제, 신데렐라",대구오페라하우스,2022-11-04~2022-11-05,유료,대구오페라하우스 053-666-6000 / 전화예매 1661-5946
32,대구광역시,국악,"대구문화예술회관판소리 완창시리즈, 김진아의 보성소리: 성창순 바디 심청가",대구문화예술회관,2022-11-05~2022-11-05,유료,"대구문화예술회관 053-606-6135, 6133"
36,대구광역시,음악/콘서트,시네마 클래식 데이 [대구],아양아트센터,2022-11-05~2022-11-05,유료,대구동구문화재단 공연기획팀 053-230-3316
46,대구광역시,뮤지컬/오페라,나르키소스 [대구],달서아트센터,2022-11-05~2022-11-05,무료,지오뮤직 010-3049-2731
64,대구광역시,뮤지컬/오페라,"봉포유 라온스테이지 IV, EG뮤지컬컴퍼니",봉산문화회관,2022-11-05~2022-11-05,유료,봉산문화회관 053-661-3521
113,대구광역시,연극,"작은 무대에 부는 바람, 정크, 클라운 [대구]",한울림 소극장,2022-11-05~2022-11-06,유료,한울림소극장 053-246-2925
121,대구광역시,뮤지컬/오페라,프린세스공주 [대구],신세계 문화홀 대구점,2022-11-05~2022-11-06,유료,좋은사람들 070-4045-2302
162,대구광역시,음악/콘서트,손민수 피아노 리사이틀 [대구],아양아트센터,2022-11-06~2022-11-06,유료,목프로덕션 02-338-3816
187,대구광역시,음악/콘서트,"지역청년음악가 지원프로그램, 이야기를 품은 클래식",한영아트센터,2022-11-08~2022-11-08,유료,수성아트피아 053-668-1800
191,대구광역시,음악/콘서트,김은옥 피아노 독주회,달서아트센터,2022-11-08~2022-11-08,유료,티켓링크 1588-7890
195,대구광역시,뮤지컬/오페라,오페라 춘향전 패션을 입다 [대구],아양아트센터,2022-11-08~2022-11-08,유료,지트리아트컴퍼니 0507-1301-7467
199,대구광역시,음악/콘서트,"월드오케스트라시리즈, 대구유스오케스트라",대구콘서트하우스 그랜드홀,2022-11-08~2022-11-08,유료,월드오케스트라시리즈 조직위원회 053-250-1447~8
205,대구광역시,음악/콘서트,제1회 앙상블 로체 정기연주회,대구콘서트하우스 챔버홀,2022-11-09~2022-11-09,유료,에이엠예술기획 053-623-0684
225,대구광역시,연극,"작은 무대에 부는 바람, 사평역 [대구]",한울림 소극장,2022-11-08~2022-11-10,유료,한울림소극장 053-246-2925
234,대구광역시,음악/콘서트,김두민 첼로 리사이틀 (11.10),공간 울림,2022-11-10~2022-11-10,유료,공간울림 053-765-5632
243,대구광역시,음악/콘서트,"수성아트피아 마티네 시즌 17, 드보르작의 보헤미안 (11월)",한영아트센터,2022-11-10~2022-11-10,유료,수성아트피아 053-668-1800
249,대구광역시,음악/콘서트,"월드오케스트라시리즈, 김선욱 & 유럽 챔버 오케스트라",대구콘서트하우스 그랜드홀,2022-11-10~2022-11-10,유료,월드오케스트라시리즈 조직위원회 053-250-1447~8
257,대구광역시,음악/콘서트,"2022 카즈미 타테이시 트리오 내한 공연-지브리, 재즈를 만나다(대구)",아양아트센터,2022-11-10~2022-11-10,유료,070-8680-8477
279,대구광역시,음악/콘서트,"DSAC 로컬 아티스트 프로젝트, 가곡열전",달서아트센터,2022-11-11~2022-11-11,유료,달서아트센터 053-584-8719~20
308,대구광역시,기타,제6회 대구국제컴퓨터음악제,대구콘서트하우스 챔버홀,2022-11-11~2022-11-12,유료,다매체예술단ARS 010-8937-7716？
336,대구광역시,연극,임지윤의 하루 2 [대구],소극장 소금창고,2022-11-12~2022-11-12,유료,카카오톡 오픈채팅 '극단 제이와이 <임지윤의 하루> 문의방'으로 문의 / 인터파크 1544-1555
340,대구광역시,뮤지컬/오페라,"제19회 DIOF, 오페라 콘체르탄테: 카발레리아 루스티카나 & 잔니 스키키",대구오페라하우스,2022-11-12~2022-11-12,유료,대구오페라하우스 053-666-6000 / 전화예매 1661-5946
349,대구광역시,음악/콘서트,"월드오케스트라시리즈, WOS 비르투오소 챔버",대구콘서트하우스 그랜드홀,2022-11-12~2022-11-12,유료,월드오케스트라시리즈 조직위원회 053-250-1447~8
357,대구광역시,음악/콘서트,오르가니스트 한영태 독주회 [대구],소담아트홀,2022-11-12~2022-11-12,유료,010-4306-3336
375,대구광역시,연극,내 모든걸 [대구],문화예술전용극장 CT,2022-09-21~2022-11-13,유료,053-252-5733
393,대구광역시,뮤지컬/오페라,킹키부츠 [대구],대구 계명아트센터,2022-11-04~2022-11-13,유료,계명아트센터 053-580-6600
403,대구광역시,연극,"제4회 실험극 페스티벌, 작작zoom하자: 세라핀 - 그림자의 색",골목실험극장,2022-11-09~2022-11-13,유료,극단 골목 골목실험극장 010-4072-2378
430,대구광역시,뮤지컬/오페라,수박수영장 [대구],대구 엑스코(EXCO),2022-11-12~2022-11-13,유료,에이엠컬처 02-6413-3698
481,대구광역시,음악/콘서트,소프라노 김상은 독창회 [대구],달서아트센터,2022-11-15~2022-11-15,유료,IL CLASSICO 010-2247-0246
516,대구광역시,음악/콘서트,"명연주시리즈, 이고르 레비트 피아노 리사이틀",대구콘서트하우스 그랜드홀,2022-11-16~2022-11-16,유료,대구콘서트하우스 053-250-1400 (ARS 1번)
558,대구광역시,뮤지컬/오페라,프랭크 와일드혼의 뮤지컬콘서트: ONLY LOVE [대구],대구 계명아트센터,2022-11-18~2022-11-18,유료,트리니티이앤엠 02-7936-333
562,대구광역시,음악/콘서트,제489회 대구시립교향악단 정기연주회,대구콘서트하우스 그랜드홀,2022-11-18~2022-11-18,유료,대구시립교향악단 053-250-1475
588,대구광역시,뮤지컬/오페라,"제19회 대구국제오페라축제, 심청",대구오페라하우스,2022-11-18~2022-11-19,유료,대구오페라하우스 053-666-6000 / 전화예매 1661-5946
596,대구광역시,음악/콘서트,피아니스트 백혜선 시와 그림이 있는 음악회 [대구],대구범어대성당 드망즈홀,2022-11-19~2022-11-19,유료,범어대성당 드망즈홀 053-790-1300
