연도,대한민국,이스라엘,일본,튀르키예,캐나다,멕시코,미국,칠레,콜롬비아,코스타리카,오스트리아,벨기에,체코,덴마크,에스토니아,핀란드,프랑스,독일,그리스,헝가리,아이슬란드,아일랜드,이탈리아,라트비아,리투아니아,룩셈부르크,네덜란드,노르웨이,폴란드,포르투갈,슬로바키아,슬로베니아,스페인,스웨덴,스위스,영국,오스트레일리아,뉴질랜드
2020,51781,8656,126476,84339,37742,128933,331003,19116,50883,5094,9006,11590,10709,5792,1327,5541,65274,83784,10423,9660,341,4938,60462,1886,2722,626,17135,5421,37847,10197,5460,2079,46755,10099,8655,67886,25500,4822
2021,51822,8790,126051,85043,38068,130262,332915,19212,51266,5139,9043,11632,10725,5813,1325,5548,65426,83900,10371,9634,343,4983,60367,1867,2690,635,17173,5466,37797,10168,5461,2079,46745,10160,8715,68207,25788,4861
2022,51846,8923,125585,85562,38388,131563,334805,19250,51513,5182,9067,11668,10737,5835,1322,5555,65585,83884,10317,9606,345,5020,60263,1849,2662,642,17211,5511,37740,10141,5460,2078,46719,10219,8774,68498,26069,4898
2023,51868,9055,125081,85957,38704,132834,336679,19249,51673,5224,9081,11699,10746,5857,1317,5561,65745,83775,10262,9577,347,5052,60148,1832,2637,649,17249,5558,37674,10114,5458,2077,46679,10276,8830,68766,26343,4935
2024,51888,9187,124544,86316,39017,134074,338543,19239,51820,5264,9092,11728,10752,5879,1312,5565,65902,83636,10207,9546,349,5080,60019,1815,2614,655,17286,5605,37599,10087,5455,2075,46631,10331,8884,69022,26613,4971
2025,51905,9319,123976,86705,39327,135284,340400,19241,52007,5302,9104,11757,10757,5900,1307,5570,66051,83515,10155,9514,351,5109,59877,1799,2591,661,17320,5651,37515,10060,5450,2073,46577,10385,8937,69274,26880,5006
2026,51920,9451,123379,87142,39634,136462,342252,19260,52249,5339,9119,11787,10759,5922,1302,5573,66191,83423,10104,9482,353,5138,59721,1782,2569,667,17351,5697,37420,10032,5443,2070,46519,10437,8989,69524,27144,5041
2027,51933,9583,122755,87613,39939,137609,344101,19293,52530,5373,9134,11817,10759,5943,1296,5576,66324,83346,10055,9448,355,5167,59556,1767,2548,673,17380,5742,37315,10004,5436,2067,46454,10488,9040,69772,27406,5075
2028,51942,9715,122107,88115,40241,138725,345948,19338,52835,5406,9149,11847,10756,5963,1291,5578,66452,83281,10007,9413,356,5195,59384,1751,2526,679,17406,5787,37200,9974,5426,2064,46384,10538,9091,70016,27666,5109
2029,51941,9847,121441,88633,40539,139814,347795,19394,53136,5438,9164,11876,10752,5983,1286,5580,66575,83214,9962,9376,358,5222,59208,1735,2505,685,17430,5832,37076,9944,5416,2060,46309,10585,9139,70255,27923,5141
2030,51927,9980,120758,89158,40834,140876,349642,19458,53417,5468,9176,11904,10745,6002,1280,5581,66696,83136,9917,9338,360,5248,59031,1720,2485,690,17450,5876,36945,9913,5403,2056,46230,10630,9185,70485,28177,5173
2031,51900,10113,120063,89693,41125,141912,351490,19533,53674,5497,9186,11930,10736,6020,1274,5581,66813,83048,9874,9299,361,5274,58854,1705,2464,696,17468,5919,36805,9881,5390,2052,46148,10673,9229,70709,28429,5203
2032,51858,10246,119355,90242,41411,142921,353335,19618,53914,5524,9195,11956,10726,6037,1268,5580,66926,82956,9833,9259,363,5299,58676,1690,2443,702,17482,5961,36658,9849,5375,2047,46061,10714,9271,70927,28679,5233
2033,51800,10380,118637,90797,41693,143900,355163,19710,54139,5550,9202,11981,10714,6054,1262,5579,67034,82860,9792,9218,364,5324,58498,1676,2423,707,17492,6003,36504,9816,5358,2043,45972,10753,9311,71140,28926,5261
